InstanceFile,MISType,Width,Height,Size,Capacity,Timeout,ConstructionTime,MISFindingTime,MISLength
random_nrc_10_110_pe_0%_po_30.0%_1.txt,ILP,10,110,1100,1100,False,00:00:00.04,00:00:00.14,385
random_nrc_10_110_pe_0%_po_30.0%_2.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.14,385
random_nrc_10_110_pe_0%_po_30.0%_3.txt,ILP,10,110,1100,1100,False,00:00:00.04,00:00:00.10,385
random_nrc_10_110_pe_0%_po_30.0%_4.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.11,385
random_nrc_10_110_pe_0%_po_30.0%_5.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.11,385
random_nrc_10_110_pe_0%_po_50.0%_1.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.11,385
random_nrc_10_110_pe_0%_po_50.0%_2.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.10,385
random_nrc_10_110_pe_0%_po_50.0%_3.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.11,385
random_nrc_10_110_pe_0%_po_50.0%_4.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.12,385
random_nrc_10_110_pe_0%_po_50.0%_5.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.11,385
random_nrc_10_110_pe_0%_po_70.0%_1.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.11,385
random_nrc_10_110_pe_0%_po_70.0%_2.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.10,385
random_nrc_10_110_pe_0%_po_70.0%_3.txt,ILP,10,110,1100,1100,False,00:00:00.02,00:00:00.11,385
random_nrc_10_110_pe_0%_po_70.0%_4.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.11,385
random_nrc_10_110_pe_0%_po_70.0%_5.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.10,385
random_nrc_10_110_pe_0%_po_90.0%_1.txt,ILP,10,110,1100,1100,False,00:00:00.02,00:00:00.11,385
random_nrc_10_110_pe_0%_po_90.0%_2.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.10,385
random_nrc_10_110_pe_0%_po_90.0%_3.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.10,385
random_nrc_10_110_pe_0%_po_90.0%_4.txt,ILP,10,110,1100,1100,False,00:00:00.03,00:00:00.11,385
random_nrc_10_110_pe_0%_po_90.0%_5.txt,ILP,10,110,1100,1100,False,00:00:00.02,00:00:00.11,385
random_nrc_10_110_pe_20.0%_po_30.0%_1.txt,ILP,10,110,1100,880,False,00:00:00.02,00:00:00.11,347
random_nrc_10_110_pe_20.0%_po_30.0%_2.txt,ILP,10,110,1100,865,False,00:00:00.03,00:00:00.10,349
random_nrc_10_110_pe_20.0%_po_30.0%_3.txt,ILP,10,110,1100,876,False,00:00:00.02,00:00:00.12,351
random_nrc_10_110_pe_20.0%_po_30.0%_4.txt,ILP,10,110,1100,889,False,00:00:00.03,00:00:00.10,358
