InstanceFile,MISType,Width,Height,Size,Capacity,Timeout,ConstructionTime,MISFindingTime,MISLength
random_nrc_13_10_pe_0%_po_30.0%_1.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_30.0%_2.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_30.0%_3.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_30.0%_4.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_30.0%_5.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_50.0%_1.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_50.0%_2.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_50.0%_3.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_50.0%_4.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_50.0%_5.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_70.0%_1.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_70.0%_2.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_70.0%_3.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_70.0%_4.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_70.0%_5.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_90.0%_1.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_90.0%_2.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_90.0%_3.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_90.0%_4.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_0%_po_90.0%_5.txt,None,13,10,130,130,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_30.0%_1.txt,None,13,10,130,100,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_30.0%_2.txt,None,13,10,130,106,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_30.0%_3.txt,None,13,10,130,105,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_30.0%_4.txt,None,13,10,130,98,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_30.0%_5.txt,None,13,10,130,96,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_50.0%_1.txt,None,13,10,130,98,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_50.0%_2.txt,None,13,10,130,111,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_50.0%_3.txt,None,13,10,130,95,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_50.0%_4.txt,None,13,10,130,105,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_50.0%_5.txt,None,13,10,130,109,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_70.0%_1.txt,None,13,10,130,104,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_70.0%_2.txt,None,13,10,130,103,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_70.0%_3.txt,None,13,10,130,104,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_70.0%_4.txt,None,13,10,130,96,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_70.0%_5.txt,None,13,10,130,104,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_90.0%_1.txt,None,13,10,130,104,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_90.0%_2.txt,None,13,10,130,98,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_90.0%_3.txt,None,13,10,130,108,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_90.0%_4.txt,None,13,10,130,98,False,00:00:00.00,,0
random_nrc_13_10_pe_20.0%_po_90.0%_5.txt,None,13,10,130,100,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_30.0%_1.txt,None,13,10,130,84,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_30.0%_2.txt,None,13,10,130,78,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_30.0%_3.txt,None,13,10,130,77,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_30.0%_4.txt,None,13,10,130,84,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_30.0%_5.txt,None,13,10,130,75,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_50.0%_1.txt,None,13,10,130,86,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_50.0%_2.txt,None,13,10,130,73,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_50.0%_3.txt,None,13,10,130,78,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_50.0%_4.txt,None,13,10,130,83,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_50.0%_5.txt,None,13,10,130,75,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_70.0%_1.txt,None,13,10,130,80,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_70.0%_2.txt,None,13,10,130,83,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_70.0%_3.txt,None,13,10,130,68,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_70.0%_4.txt,None,13,10,130,76,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_70.0%_5.txt,None,13,10,130,80,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_90.0%_1.txt,None,13,10,130,74,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_90.0%_2.txt,None,13,10,130,78,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_90.0%_3.txt,None,13,10,130,73,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_90.0%_4.txt,None,13,10,130,71,False,00:00:00.00,,0
random_nrc_13_10_pe_40.0%_po_90.0%_5.txt,None,13,10,130,73,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_30.0%_1.txt,None,13,10,130,51,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_30.0%_2.txt,None,13,10,130,57,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_30.0%_3.txt,None,13,10,130,50,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_30.0%_4.txt,None,13,10,130,43,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_30.0%_5.txt,None,13,10,130,57,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_50.0%_1.txt,None,13,10,130,53,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_50.0%_2.txt,None,13,10,130,51,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_50.0%_3.txt,None,13,10,130,53,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_50.0%_4.txt,None,13,10,130,57,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_50.0%_5.txt,None,13,10,130,48,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_70.0%_1.txt,None,13,10,130,49,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_70.0%_2.txt,None,13,10,130,42,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_70.0%_3.txt,None,13,10,130,54,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_70.0%_4.txt,None,13,10,130,56,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_70.0%_5.txt,None,13,10,130,68,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_90.0%_1.txt,None,13,10,130,48,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_90.0%_2.txt,None,13,10,130,50,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_90.0%_3.txt,None,13,10,130,50,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_90.0%_4.txt,None,13,10,130,49,False,00:00:00.00,,0
random_nrc_13_10_pe_60.0%_po_90.0%_5.txt,None,13,10,130,55,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_30.0%_1.txt,None,13,10,130,21,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_30.0%_2.txt,None,13,10,130,22,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_30.0%_3.txt,None,13,10,130,29,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_30.0%_4.txt,None,13,10,130,25,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_30.0%_5.txt,None,13,10,130,30,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_50.0%_1.txt,None,13,10,130,27,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_50.0%_2.txt,None,13,10,130,28,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_50.0%_3.txt,None,13,10,130,27,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_50.0%_4.txt,None,13,10,130,30,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_50.0%_5.txt,None,13,10,130,25,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_70.0%_1.txt,None,13,10,130,24,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_70.0%_2.txt,None,13,10,130,27,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_70.0%_3.txt,None,13,10,130,22,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_70.0%_4.txt,None,13,10,130,30,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_70.0%_5.txt,None,13,10,130,22,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_90.0%_1.txt,None,13,10,130,30,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_90.0%_2.txt,None,13,10,130,25,False,00:00:00.00,,0
random_nrc_13_10_pe_80.0%_po_90.0%_3.txt,None,13,10,130,25,False,00:00:00.00,,0
