InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_40_25_pe_0%_po_30.0%_1.txt,Greedy_LF,None,,40,25,1000,1000,134,300,134,300,0.3,0.3,1,False,True,False,False,00:00:00.25
random_nrc_40_25_pe_0%_po_30.0%_2.txt,Greedy_LF,None,,40,25,1000,1000,138,300,138,300,0.3,0.3,1,False,True,False,False,00:00:00.16
random_nrc_40_25_pe_0%_po_30.0%_3.txt,Greedy_LF,None,,40,25,1000,1000,126,300,126,300,0.3,0.3,1,False,True,False,False,00:00:00.17
random_nrc_40_25_pe_0%_po_30.0%_4.txt,Greedy_LF,None,,40,25,1000,1000,138,300,138,300,0.3,0.3,1,False,True,False,False,00:00:00.19
random_nrc_40_25_pe_0%_po_30.0%_5.txt,Greedy_LF,None,,40,25,1000,1000,136,300,136,300,0.3,0.3,1,False,True,False,False,00:00:00.28
random_nrc_40_25_pe_0%_po_50.0%_1.txt,Greedy_LF,None,,40,25,1000,1000,222,500,167,427,0.427,0.5,1,False,False,False,False,00:00:00.21
random_nrc_40_25_pe_0%_po_50.0%_2.txt,Greedy_LF,None,,40,25,1000,1000,227,500,175,433,0.433,0.5,1,False,False,False,False,00:00:00.12
random_nrc_40_25_pe_0%_po_50.0%_3.txt,Greedy_LF,None,,40,25,1000,1000,217,500,173,432,0.432,0.5,1,False,False,False,False,00:00:00.17
random_nrc_40_25_pe_0%_po_50.0%_4.txt,Greedy_LF,None,,40,25,1000,1000,217,500,178,444,0.444,0.5,1,False,False,False,False,00:00:00.13
random_nrc_40_25_pe_0%_po_50.0%_5.txt,Greedy_LF,None,,40,25,1000,1000,231,500,177,434,0.434,0.5,1,False,False,False,False,00:00:00.12
random_nrc_40_25_pe_0%_po_70.0%_1.txt,Greedy_LF,None,,40,25,1000,1000,314,700,156,433,0.433,0.7,1,False,False,False,False,00:00:00.10
random_nrc_40_25_pe_0%_po_70.0%_2.txt,Greedy_LF,None,,40,25,1000,1000,301,700,159,450,0.45,0.7,1,False,False,False,False,00:00:00.10
random_nrc_40_25_pe_0%_po_70.0%_3.txt,Greedy_LF,None,,40,25,1000,1000,329,700,158,437,0.437,0.7,1,False,False,False,False,00:00:00.15
random_nrc_40_25_pe_0%_po_70.0%_4.txt,Greedy_LF,None,,40,25,1000,1000,321,700,161,436,0.436,0.7,1,False,False,False,False,00:00:00.13
random_nrc_40_25_pe_0%_po_70.0%_5.txt,Greedy_LF,None,,40,25,1000,1000,332,700,169,429,0.429,0.7,1,False,False,False,False,00:00:00.16
random_nrc_40_25_pe_0%_po_90.0%_1.txt,Greedy_LF,None,,40,25,1000,1000,403,900,149,457,0.457,0.9,1,False,False,False,False,00:00:00.10
random_nrc_40_25_pe_0%_po_90.0%_2.txt,Greedy_LF,None,,40,25,1000,1000,417,900,142,433,0.433,0.9,1,False,False,False,False,00:00:00.10
random_nrc_40_25_pe_0%_po_90.0%_3.txt,Greedy_LF,None,,40,25,1000,1000,405,900,149,456,0.456,0.9,1,False,False,False,False,00:00:00.10
random_nrc_40_25_pe_0%_po_90.0%_4.txt,Greedy_LF,None,,40,25,1000,1000,420,900,160,443,0.443,0.9,1,False,False,False,False,00:00:00.12
random_nrc_40_25_pe_0%_po_90.0%_5.txt,Greedy_LF,None,,40,25,1000,1000,428,900,160,439,0.439,0.9,1,False,False,False,False,00:00:00.27
random_nrc_40_25_pe_20.0%_po_30.0%_1.txt,Greedy_LF,None,,40,25,1000,783,104,235,104,235,0.3001277139208174,0.3001277139208174,0.783,False,True,False,False,00:00:00.08
random_nrc_40_25_pe_20.0%_po_30.0%_2.txt,Greedy_LF,None,,40,25,1000,807,95,242,95,242,0.29987608426270135,0.29987608426270135,0.807,False,True,False,False,00:00:00.05
random_nrc_40_25_pe_20.0%_po_30.0%_3.txt,Greedy_LF,None,,40,25,1000,774,103,232,103,232,0.2997416020671835,0.2997416020671835,0.774,False,True,False,False,00:00:00.07
random_nrc_40_25_pe_20.0%_po_30.0%_4.txt,Greedy_LF,None,,40,25,1000,796,118,239,118,239,0.30025125628140703,0.30025125628140703,0.796,False,True,False,False,00:00:00.11
random_nrc_40_25_pe_20.0%_po_30.0%_5.txt,Greedy_LF,None,,40,25,1000,801,105,240,105,240,0.299625468164794,0.299625468164794,0.801,False,True,False,False,00:00:00.07
random_nrc_40_25_pe_20.0%_po_50.0%_1.txt,Greedy_LF,None,,40,25,1000,785,177,392,160,358,0.45605095541401275,0.49936305732484076,0.785,False,False,False,False,00:00:00.05
random_nrc_40_25_pe_20.0%_po_50.0%_2.txt,Greedy_LF,None,,40,25,1000,805,192,402,170,362,0.4496894409937888,0.4993788819875776,0.805,False,False,False,False,00:00:00.05
random_nrc_40_25_pe_20.0%_po_50.0%_3.txt,Greedy_LF,None,,40,25,1000,788,188,394,175,370,0.46954314720812185,0.5,0.788,False,False,False,False,00:00:00.05
random_nrc_40_25_pe_20.0%_po_50.0%_4.txt,Greedy_LF,None,,40,25,1000,817,197,408,172,369,0.45165238678090575,0.49938800489596086,0.817,False,False,False,False,00:00:00.07
random_nrc_40_25_pe_20.0%_po_50.0%_5.txt,Greedy_LF,None,,40,25,1000,801,174,400,148,348,0.4344569288389513,0.4993757802746567,0.801,False,False,False,False,00:00:00.05
random_nrc_40_25_pe_20.0%_po_70.0%_1.txt,Greedy_LF,None,,40,25,1000,793,247,555,148,371,0.467843631778058,0.699873896595208,0.793,False,False,False,False,00:00:00.05
random_nrc_40_25_pe_20.0%_po_70.0%_2.txt,Greedy_LF,None,,40,25,1000,805,256,564,150,371,0.4608695652173913,0.7006211180124223,0.805,False,False,False,False,00:00:00.06
random_nrc_40_25_pe_20.0%_po_70.0%_3.txt,Greedy_LF,None,,40,25,1000,804,254,563,160,377,0.4689054726368159,0.7002487562189055,0.804,False,False,False,False,00:00:00.07
random_nrc_40_25_pe_20.0%_po_70.0%_4.txt,Greedy_LF,None,,40,25,1000,803,262,562,149,357,0.44458281444582815,0.6998754669987547,0.803,False,False,False,False,00:00:00.06
random_nrc_40_25_pe_20.0%_po_70.0%_5.txt,Greedy_LF,None,,40,25,1000,811,254,568,137,361,0.44512946979038226,0.7003699136868065,0.811,False,False,False,False,00:00:00.07
random_nrc_40_25_pe_20.0%_po_90.0%_1.txt,Greedy_LF,None,,40,25,1000,787,319,708,127,359,0.45616264294790343,0.8996188055908514,0.787,False,False,False,False,00:00:00.04
random_nrc_40_25_pe_20.0%_po_90.0%_2.txt,Greedy_LF,None,,40,25,1000,788,305,709,126,374,0.4746192893401015,0.899746192893401,0.788,False,False,False,False,00:00:00.04
random_nrc_40_25_pe_20.0%_po_90.0%_3.txt,Greedy_LF,None,,40,25,1000,780,299,702,126,373,0.4782051282051282,0.9,0.78,False,False,False,False,00:00:00.05
random_nrc_40_25_pe_20.0%_po_90.0%_4.txt,Greedy_LF,None,,40,25,1000,811,323,730,126,376,0.4636251541307028,0.9001233045622689,0.811,False,False,False,False,00:00:00.05
random_nrc_40_25_pe_20.0%_po_90.0%_5.txt,Greedy_LF,None,,40,25,1000,800,320,720,131,373,0.46625,0.9,0.8,False,False,False,False,00:00:00.14
random_nrc_40_25_pe_40.0%_po_30.0%_1.txt,Greedy_LF,None,,40,25,1000,595,82,178,82,178,0.2991596638655462,0.2991596638655462,0.595,False,True,False,False,00:00:00.04
random_nrc_40_25_pe_40.0%_po_30.0%_2.txt,Greedy_LF,None,,40,25,1000,612,84,184,84,184,0.3006535947712418,0.3006535947712418,0.612,False,True,False,False,00:00:00.05
random_nrc_40_25_pe_40.0%_po_30.0%_3.txt,Greedy_LF,None,,40,25,1000,612,88,184,88,184,0.3006535947712418,0.3006535947712418,0.612,False,True,False,False,00:00:00.02
random_nrc_40_25_pe_40.0%_po_30.0%_4.txt,Greedy_LF,None,,40,25,1000,599,92,180,92,180,0.3005008347245409,0.3005008347245409,0.599,False,True,False,False,00:00:00.04
random_nrc_40_25_pe_40.0%_po_30.0%_5.txt,Greedy_LF,None,,40,25,1000,597,89,179,89,179,0.2998324958123953,0.2998324958123953,0.597,False,True,False,False,00:00:00.04
random_nrc_40_25_pe_40.0%_po_50.0%_1.txt,Greedy_LF,None,,40,25,1000,592,144,296,129,266,0.44932432432432434,0.5,0.592,False,False,False,False,00:00:00.02
random_nrc_40_25_pe_40.0%_po_50.0%_2.txt,Greedy_LF,None,,40,25,1000,602,139,301,135,287,0.47674418604651164,0.5,0.602,False,False,False,False,00:00:00.02
random_nrc_40_25_pe_40.0%_po_50.0%_3.txt,Greedy_LF,None,,40,25,1000,605,139,302,128,280,0.4628099173553719,0.4991735537190083,0.605,False,False,False,False,00:00:00.02
random_nrc_40_25_pe_40.0%_po_50.0%_4.txt,Greedy_LF,None,,40,25,1000,620,138,310,135,304,0.49032258064516127,0.5,0.62,False,False,False,False,00:00:00.02
random_nrc_40_25_pe_40.0%_po_50.0%_5.txt,Greedy_LF,None,,40,25,1000,603,146,302,142,294,0.48756218905472637,0.5008291873963516,0.603,False,False,False,False,00:00:00.02
random_nrc_40_25_pe_40.0%_po_70.0%_1.txt,Greedy_LF,None,,40,25,1000,598,181,419,128,313,0.5234113712374582,0.7006688963210702,0.598,False,False,False,False,00:00:00.02
random_nrc_40_25_pe_40.0%_po_70.0%_2.txt,Greedy_LF,None,,40,25,1000,603,202,422,134,286,0.47429519071310117,0.6998341625207297,0.603,False,False,False,False,00:00:00.03
random_nrc_40_25_pe_40.0%_po_70.0%_3.txt,Greedy_LF,None,,40,25,1000,577,184,404,132,282,0.48873483535528595,0.7001733102253033,0.577,False,False,False,False,00:00:00.04
random_nrc_40_25_pe_40.0%_po_70.0%_4.txt,Greedy_LF,None,,40,25,1000,602,188,421,131,307,0.5099667774086378,0.6993355481727574,0.602,False,False,False,False,00:00:00.02
random_nrc_40_25_pe_40.0%_po_70.0%_5.txt,Greedy_LF,None,,40,25,1000,579,197,405,133,277,0.4784110535405872,0.6994818652849741,0.579,False,False,False,False,00:00:00.03
random_nrc_40_25_pe_40.0%_po_90.0%_1.txt,Greedy_LF,None,,40,25,1000,585,238,526,133,292,0.49914529914529915,0.8991452991452992,0.585,False,False,False,False,00:00:00.06
random_nrc_40_25_pe_40.0%_po_90.0%_2.txt,Greedy_LF,None,,40,25,1000,601,237,541,127,311,0.5174708818635607,0.9001663893510815,0.601,False,False,False,False,00:00:00.04
random_nrc_40_25_pe_40.0%_po_90.0%_3.txt,Greedy_LF,None,,40,25,1000,608,247,547,126,306,0.5032894736842105,0.899671052631579,0.608,False,False,False,False,00:00:00.04
random_nrc_40_25_pe_40.0%_po_90.0%_4.txt,Greedy_LF,None,,40,25,1000,604,260,544,141,312,0.5165562913907285,0.9006622516556292,0.604,False,False,False,False,00:00:00.05
random_nrc_40_25_pe_40.0%_po_90.0%_5.txt,Greedy_LF,None,,40,25,1000,580,225,522,112,286,0.49310344827586206,0.9,0.58,False,False,False,False,00:00:00.04
random_nrc_40_25_pe_60.0%_po_30.0%_1.txt,Greedy_LF,None,,40,25,1000,413,58,124,58,124,0.30024213075060535,0.30024213075060535,0.413,False,True,False,False,00:00:00.01
random_nrc_40_25_pe_60.0%_po_30.0%_2.txt,Greedy_LF,None,,40,25,1000,387,58,116,58,116,0.2997416020671835,0.2997416020671835,0.387,False,True,False,False,00:00:00.02
random_nrc_40_25_pe_60.0%_po_30.0%_3.txt,Greedy_LF,None,,40,25,1000,393,55,118,55,118,0.30025445292620867,0.30025445292620867,0.393,False,True,False,False,00:00:00.01
random_nrc_40_25_pe_60.0%_po_30.0%_4.txt,Greedy_LF,None,,40,25,1000,440,59,132,59,132,0.3,0.3,0.44,False,True,False,False,00:00:00.01
random_nrc_40_25_pe_60.0%_po_30.0%_5.txt,Greedy_LF,None,,40,25,1000,401,55,120,55,120,0.29925187032418954,0.29925187032418954,0.401,False,True,False,False,00:00:00.01
random_nrc_40_25_pe_60.0%_po_50.0%_1.txt,Greedy_LF,None,,40,25,1000,427,106,214,100,202,0.47306791569086654,0.5011709601873536,0.427,False,False,False,False,00:00:00.02
random_nrc_40_25_pe_60.0%_po_50.0%_2.txt,Greedy_LF,None,,40,25,1000,385,92,192,83,174,0.45194805194805193,0.4987012987012987,0.385,False,False,False,False,00:00:00.01
random_nrc_40_25_pe_60.0%_po_50.0%_3.txt,Greedy_LF,None,,40,25,1000,398,97,199,91,187,0.46984924623115576,0.5,0.398,False,False,False,False,00:00:00.01
