InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_20_20_pe_0%_po_30.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,400,59,120,59,120,0.3,0.3,1,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_30.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,400,58,120,58,120,0.3,0.3,1,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_30.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,400,51,120,51,120,0.3,0.3,1,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_30.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,400,57,120,57,120,0.3,0.3,1,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_30.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,400,49,120,49,120,0.3,0.3,1,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_50.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,400,86,200,58,162,0.405,0.5,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_50.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,400,90,200,62,163,0.4075,0.5,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_50.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,400,96,200,61,150,0.375,0.5,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_50.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,400,98,200,63,153,0.3825,0.5,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_50.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,400,93,200,64,159,0.3975,0.5,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_70.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,400,127,280,59,163,0.4075,0.7,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_70.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,400,123,280,57,165,0.4125,0.7,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_70.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,400,136,280,60,157,0.3925,0.7,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_70.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,400,122,280,58,169,0.4225,0.7,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_70.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,400,129,280,56,162,0.405,0.7,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_90.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,400,181,360,60,157,0.3925,0.9,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_90.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,400,169,360,54,171,0.4275,0.9,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_90.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,400,162,360,48,174,0.435,0.9,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_90.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,400,156,360,47,172,0.43,0.9,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_0%_po_90.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,400,161,360,54,169,0.4225,0.9,1,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_30.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,313,49,94,49,94,0.3003194888178914,0.3003194888178914,0.7825,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_30.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,331,40,99,40,99,0.2990936555891239,0.2990936555891239,0.8275,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_30.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,333,46,100,46,100,0.3003003003003003,0.3003003003003003,0.8325,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_30.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,315,50,94,50,94,0.2984126984126984,0.2984126984126984,0.7875,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_30.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,329,43,99,43,99,0.3009118541033435,0.3009118541033435,0.8225,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_50.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,319,72,160,62,140,0.438871473354232,0.5015673981191222,0.7975,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_50.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,320,76,160,64,136,0.425,0.5,0.8,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_50.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,330,77,165,73,145,0.4393939393939394,0.5,0.825,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_50.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,325,73,162,66,142,0.4369230769230769,0.49846153846153846,0.8125,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_50.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,304,66,152,61,136,0.4473684210526316,0.5,0.76,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_70.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,322,103,225,59,144,0.4472049689440994,0.6987577639751553,0.805,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_70.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,314,93,220,74,157,0.5,0.7006369426751592,0.785,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_70.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,304,102,213,63,135,0.4440789473684211,0.7006578947368421,0.76,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_70.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,328,99,230,72,161,0.49085365853658536,0.7012195121951219,0.82,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_70.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,324,99,227,67,145,0.44753086419753085,0.7006172839506173,0.81,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_90.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,328,138,295,68,152,0.4634146341463415,0.899390243902439,0.82,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_90.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,320,133,288,59,144,0.45,0.9,0.8,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_90.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,334,129,301,55,149,0.44610778443113774,0.9011976047904192,0.835,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_90.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,316,135,284,64,144,0.45569620253164556,0.8987341772151899,0.79,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_20.0%_po_90.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,315,129,284,64,146,0.4634920634920635,0.9015873015873016,0.7875,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_30.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,247,32,74,32,74,0.29959514170040485,0.29959514170040485,0.6175,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_30.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,235,26,70,24,54,0.2297872340425532,0.2978723404255319,0.5875,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_30.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,255,37,76,37,76,0.2980392156862745,0.2980392156862745,0.6375,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_30.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,237,36,71,36,71,0.29957805907172996,0.29957805907172996,0.5925,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_30.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,226,36,68,36,68,0.3008849557522124,0.3008849557522124,0.565,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_50.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,259,59,130,52,110,0.4247104247104247,0.5019305019305019,0.6475,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_50.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,241,56,120,54,110,0.45643153526970953,0.4979253112033195,0.6025,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_50.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,225,53,112,49,104,0.4622222222222222,0.49777777777777776,0.5625,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_50.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,224,49,112,46,94,0.41964285714285715,0.5,0.56,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_50.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,218,56,109,49,95,0.43577981651376146,0.5,0.545,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_70.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,248,79,174,53,122,0.49193548387096775,0.7016129032258065,0.62,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_70.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,227,70,159,43,87,0.3832599118942731,0.7004405286343612,0.5675,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_70.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,232,78,162,52,110,0.47413793103448276,0.6982758620689655,0.58,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_70.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,221,70,155,52,107,0.4841628959276018,0.7013574660633484,0.5525,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_70.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,218,76,153,61,120,0.5504587155963303,0.7018348623853211,0.545,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_90.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,249,98,224,54,128,0.5140562248995983,0.8995983935742972,0.6225,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_90.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,230,93,207,49,116,0.5043478260869565,0.9,0.575,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_90.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,239,100,215,55,119,0.497907949790795,0.899581589958159,0.5975,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_90.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,245,105,220,63,124,0.5061224489795918,0.8979591836734694,0.6125,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_40.0%_po_90.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,254,106,229,65,132,0.5196850393700787,0.9015748031496063,0.635,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_30.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,165,27,50,27,50,0.30303030303030304,0.30303030303030304,0.4125,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_30.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,151,24,45,24,45,0.2980132450331126,0.2980132450331126,0.3775,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_30.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,160,23,48,23,48,0.3,0.3,0.4,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_30.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,167,26,50,26,50,0.2994011976047904,0.2994011976047904,0.4175,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_30.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,165,24,50,24,50,0.30303030303030304,0.30303030303030304,0.4125,False,True,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_50.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,158,36,79,31,67,0.4240506329113924,0.5,0.395,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_50.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,170,43,85,37,73,0.4294117647058823,0.5,0.425,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_50.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,156,39,78,33,66,0.4230769230769231,0.5,0.39,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_50.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,172,40,86,34,68,0.3953488372093023,0.5,0.43,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_50.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,146,38,73,29,55,0.3767123287671233,0.5,0.365,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_70.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,160,48,112,35,72,0.45,0.7,0.4,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_70.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,153,48,107,34,65,0.42483660130718953,0.6993464052287581,0.3825,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_70.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,168,58,118,43,82,0.4880952380952381,0.7023809523809523,0.42,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_70.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,153,51,107,37,71,0.46405228758169936,0.6993464052287581,0.3825,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_70.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,159,54,111,36,72,0.4528301886792453,0.6981132075471698,0.3975,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_90.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,152,61,137,37,78,0.5131578947368421,0.9013157894736842,0.38,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_90.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,164,76,148,39,72,0.43902439024390244,0.9024390243902439,0.41,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_90.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,147,68,132,38,70,0.47619047619047616,0.8979591836734694,0.3675,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_90.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,162,74,146,42,82,0.5061728395061729,0.9012345679012346,0.405,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_60.0%_po_90.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,160,65,144,35,68,0.425,0.9,0.4,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_30.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,86,13,26,12,21,0.2441860465116279,0.3023255813953488,0.215,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_30.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,72,12,22,7,12,0.16666666666666666,0.3055555555555556,0.18,True,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_30.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,91,15,27,14,24,0.26373626373626374,0.2967032967032967,0.2275,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_30.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,73,12,22,11,19,0.2602739726027397,0.3013698630136986,0.1825,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_30.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,90,14,27,13,24,0.26666666666666666,0.3,0.225,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_50.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,82,20,41,11,21,0.25609756097560976,0.5,0.205,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_50.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,70,20,35,14,23,0.32857142857142857,0.5,0.175,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_50.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,77,22,38,18,29,0.37662337662337664,0.4935064935064935,0.1925,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_50.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,87,21,44,18,38,0.4367816091954023,0.5057471264367817,0.2175,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_50.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,83,22,42,17,32,0.3855421686746988,0.5060240963855421,0.2075,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_70.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,83,31,58,17,29,0.3493975903614458,0.6987951807228916,0.2075,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_70.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,77,28,54,18,27,0.35064935064935066,0.7012987012987013,0.1925,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_70.0%_3.txt,Greedy_MIS_LF,ILP,,20,20,400,85,34,59,27,40,0.47058823529411764,0.6941176470588235,0.2125,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_70.0%_4.txt,Greedy_MIS_LF,ILP,,20,20,400,82,28,57,19,35,0.4268292682926829,0.6951219512195121,0.205,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_70.0%_5.txt,Greedy_MIS_LF,ILP,,20,20,400,84,34,59,22,33,0.39285714285714285,0.7023809523809523,0.21,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_90.0%_1.txt,Greedy_MIS_LF,ILP,,20,20,400,76,36,68,19,32,0.42105263157894735,0.8947368421052632,0.19,False,False,False,False,00:00:00.00
random_nrc_20_20_pe_80.0%_po_90.0%_2.txt,Greedy_MIS_LF,ILP,,20,20,400,76,38,68,20,30,0.39473684210526316,0.8947368421052632,0.19,False,False,False,False,00:00:00.00
