InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_35_20_pe_0%_po_30.0%_1.txt,Greedy_MIS_Random,ILP,,35,20,700,700,86,210,86,210,0.3,0.3,1,False,True,False,False,00:00:00.01
random_nrc_35_20_pe_0%_po_30.0%_2.txt,Greedy_MIS_Random,ILP,,35,20,700,700,103,210,103,210,0.3,0.3,1,False,True,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_30.0%_3.txt,Greedy_MIS_Random,ILP,,35,20,700,700,99,210,99,210,0.3,0.3,1,False,True,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_30.0%_4.txt,Greedy_MIS_Random,ILP,,35,20,700,700,107,210,107,210,0.3,0.3,1,False,True,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_30.0%_5.txt,Greedy_MIS_Random,ILP,,35,20,700,700,96,210,95,209,0.2985714285714286,0.3,1,False,False,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_50.0%_1.txt,Greedy_MIS_Random,ILP,,35,20,700,700,157,350,86,233,0.33285714285714285,0.5,1,False,False,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_50.0%_2.txt,Greedy_MIS_Random,ILP,,35,20,700,700,159,350,91,234,0.3342857142857143,0.5,1,False,False,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_50.0%_3.txt,Greedy_MIS_Random,ILP,,35,20,700,700,154,350,85,245,0.35,0.5,1,False,False,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_50.0%_4.txt,Greedy_MIS_Random,ILP,,35,20,700,700,153,350,84,244,0.3485714285714286,0.5,1,False,False,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_50.0%_5.txt,Greedy_MIS_Random,ILP,,35,20,700,700,159,350,84,229,0.3271428571428571,0.5,1,False,False,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_70.0%_1.txt,Greedy_MIS_Random,ILP,,35,20,700,700,232,490,86,246,0.3514285714285714,0.7,1,False,False,False,False,00:00:00.00
random_nrc_35_20_pe_0%_po_70.0%_2.txt,Greedy_MIS_Random,ILP,,35,20,700,700,234,490,82,239,0.3414285714285714,0.7,1,False,False,False,False,00:00:00.00
