InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_50_60_pe_0%_po_30.0%_1.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,415,900,415,900,0.3,0.3,1,False,True,False,False,00:00:00.04
random_nrc_50_60_pe_0%_po_30.0%_2.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,401,900,401,900,0.3,0.3,1,False,True,False,False,00:00:00.03
random_nrc_50_60_pe_0%_po_30.0%_3.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,385,900,385,900,0.3,0.3,1,False,True,False,False,00:00:00.03
random_nrc_50_60_pe_0%_po_30.0%_4.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,407,900,407,900,0.3,0.3,1,False,True,False,False,00:00:00.03
random_nrc_50_60_pe_0%_po_30.0%_5.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,420,900,420,900,0.3,0.3,1,False,True,False,False,00:00:00.03
random_nrc_50_60_pe_0%_po_50.0%_1.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,632,1500,542,1242,0.414,0.5,1,False,False,False,False,00:00:00.04
random_nrc_50_60_pe_0%_po_50.0%_2.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,693,1500,519,1251,0.417,0.5,1,False,False,False,False,00:00:00.04
random_nrc_50_60_pe_0%_po_50.0%_3.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,700,1500,543,1245,0.415,0.5,1,False,False,False,False,00:00:00.06
random_nrc_50_60_pe_0%_po_50.0%_4.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,684,1500,526,1259,0.4196666666666667,0.5,1,False,False,False,False,00:00:00.04
random_nrc_50_60_pe_0%_po_50.0%_5.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,674,1500,528,1259,0.4196666666666667,0.5,1,False,False,False,False,00:00:00.03
random_nrc_50_60_pe_0%_po_70.0%_1.txt,Greedy_MIS_SF,ILP,,50,60,3000,3000,942,2100,505,1274,0.4246666666666667,0.7,1,False,False,False,False,00:00:00.03
