InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_40_50_pe_0%_po_30.0%_1.txt,Greedy_Random,None,,40,50,2000,2000,263,600,263,600,0.3,0.3,1,False,True,False,False,00:00:00.80
random_nrc_40_50_pe_0%_po_30.0%_2.txt,Greedy_Random,None,,40,50,2000,2000,279,600,279,600,0.3,0.3,1,False,True,False,False,00:00:00.78
random_nrc_40_50_pe_0%_po_30.0%_3.txt,Greedy_Random,None,,40,50,2000,2000,272,600,272,600,0.3,0.3,1,False,True,False,False,00:00:00.82
random_nrc_40_50_pe_0%_po_30.0%_4.txt,Greedy_Random,None,,40,50,2000,2000,260,600,260,600,0.3,0.3,1,False,True,False,False,00:00:00.91
random_nrc_40_50_pe_0%_po_30.0%_5.txt,Greedy_Random,None,,40,50,2000,2000,279,600,279,600,0.3,0.3,1,False,True,False,False,00:00:00.83
random_nrc_40_50_pe_0%_po_50.0%_1.txt,Greedy_Random,None,,40,50,2000,2000,460,1000,381,828,0.414,0.5,1,False,False,False,False,00:00:00.90
random_nrc_40_50_pe_0%_po_50.0%_2.txt,Greedy_Random,None,,40,50,2000,2000,459,1000,384,830,0.415,0.5,1,False,False,False,False,00:00:00.91
random_nrc_40_50_pe_0%_po_50.0%_3.txt,Greedy_Random,None,,40,50,2000,2000,451,1000,373,826,0.413,0.5,1,False,False,False,False,00:00:00.82
random_nrc_40_50_pe_0%_po_50.0%_4.txt,Greedy_Random,None,,40,50,2000,2000,461,1000,378,819,0.4095,0.5,1,False,False,False,False,00:00:00.82
random_nrc_40_50_pe_0%_po_50.0%_5.txt,Greedy_Random,None,,40,50,2000,2000,487,1000,400,820,0.41,0.5,1,False,False,False,False,00:00:00.92
random_nrc_40_50_pe_0%_po_70.0%_1.txt,Greedy_Random,None,,40,50,2000,2000,611,1400,359,810,0.405,0.7,1,False,False,False,False,00:00:00.99
random_nrc_40_50_pe_0%_po_70.0%_2.txt,Greedy_Random,None,,40,50,2000,2000,594,1400,354,842,0.421,0.7,1,False,False,False,False,00:00:00.96
random_nrc_40_50_pe_0%_po_70.0%_3.txt,Greedy_Random,None,,40,50,2000,2000,604,1400,379,831,0.4155,0.7,1,False,False,False,False,00:00:00.87
random_nrc_40_50_pe_0%_po_70.0%_4.txt,Greedy_Random,None,,40,50,2000,2000,633,1400,383,849,0.4245,0.7,1,False,False,False,False,00:00:00.78
random_nrc_40_50_pe_0%_po_70.0%_5.txt,Greedy_Random,None,,40,50,2000,2000,660,1400,396,854,0.427,0.7,1,False,False,False,False,00:00:01.01
random_nrc_40_50_pe_0%_po_90.0%_1.txt,Greedy_Random,None,,40,50,2000,2000,787,1800,361,837,0.4185,0.9,1,False,False,False,False,00:00:00.94
random_nrc_40_50_pe_0%_po_90.0%_2.txt,Greedy_Random,None,,40,50,2000,2000,831,1800,382,837,0.4185,0.9,1,False,False,False,False,00:00:00.92
random_nrc_40_50_pe_0%_po_90.0%_3.txt,Greedy_Random,None,,40,50,2000,2000,816,1800,376,824,0.412,0.9,1,False,False,False,False,00:00:00.84
random_nrc_40_50_pe_0%_po_90.0%_4.txt,Greedy_Random,None,,40,50,2000,2000,815,1800,378,834,0.417,0.9,1,False,False,False,False,00:00:00.83
random_nrc_40_50_pe_0%_po_90.0%_5.txt,Greedy_Random,None,,40,50,2000,2000,816,1800,383,839,0.4195,0.9,1,False,False,False,False,00:00:00.85
random_nrc_40_50_pe_20.0%_po_30.0%_1.txt,Greedy_Random,None,,40,50,2000,1630,225,489,225,489,0.3,0.3,0.815,False,True,False,False,00:00:00.33
random_nrc_40_50_pe_20.0%_po_30.0%_2.txt,Greedy_Random,None,,40,50,2000,1602,215,481,215,481,0.30024968789013734,0.30024968789013734,0.801,False,True,False,False,00:00:00.37
random_nrc_40_50_pe_20.0%_po_30.0%_3.txt,Greedy_Random,None,,40,50,2000,1654,232,496,232,496,0.2998790810157195,0.2998790810157195,0.827,False,True,False,False,00:00:00.39
random_nrc_40_50_pe_20.0%_po_30.0%_4.txt,Greedy_Random,None,,40,50,2000,1589,217,477,217,477,0.30018879798615483,0.30018879798615483,0.7945,False,True,False,False,00:00:00.38
random_nrc_40_50_pe_20.0%_po_30.0%_5.txt,Greedy_Random,None,,40,50,2000,1563,216,469,216,469,0.3000639795265515,0.3000639795265515,0.7815,False,True,False,False,00:00:00.26
random_nrc_40_50_pe_20.0%_po_50.0%_1.txt,Greedy_Random,None,,40,50,2000,1617,384,808,349,731,0.4520717377860235,0.4996907854050711,0.8085,False,False,False,False,00:00:00.43
random_nrc_40_50_pe_20.0%_po_50.0%_2.txt,Greedy_Random,None,,40,50,2000,1594,349,797,321,728,0.45671267252195735,0.5,0.797,False,False,False,False,00:00:00.58
random_nrc_40_50_pe_20.0%_po_50.0%_3.txt,Greedy_Random,None,,40,50,2000,1586,350,793,329,735,0.4634300126103405,0.5,0.793,False,False,False,False,00:00:00.39
random_nrc_40_50_pe_20.0%_po_50.0%_4.txt,Greedy_Random,None,,40,50,2000,1608,373,804,340,715,0.44465174129353235,0.5,0.804,False,False,False,False,00:00:00.42
random_nrc_40_50_pe_20.0%_po_50.0%_5.txt,Greedy_Random,None,,40,50,2000,1587,362,794,331,718,0.4524259609325772,0.5003150598613737,0.7935,False,False,False,False,00:00:00.38
random_nrc_40_50_pe_20.0%_po_70.0%_1.txt,Greedy_Random,None,,40,50,2000,1601,492,1121,324,727,0.4540911930043723,0.7001873828856965,0.8005,False,False,False,False,00:00:00.35
random_nrc_40_50_pe_20.0%_po_70.0%_2.txt,Greedy_Random,None,,40,50,2000,1595,492,1116,326,732,0.4589341692789969,0.6996865203761755,0.7975,False,False,False,False,00:00:00.36
random_nrc_40_50_pe_20.0%_po_70.0%_3.txt,Greedy_Random,None,,40,50,2000,1595,485,1116,321,731,0.45830721003134794,0.6996865203761755,0.7975,False,False,False,False,00:00:00.35
random_nrc_40_50_pe_20.0%_po_70.0%_4.txt,Greedy_Random,None,,40,50,2000,1617,502,1132,336,729,0.45083487940630795,0.7000618429189858,0.8085,False,False,False,False,00:00:00.34
random_nrc_40_50_pe_20.0%_po_70.0%_5.txt,Greedy_Random,None,,40,50,2000,1584,516,1109,338,722,0.45580808080808083,0.7001262626262627,0.792,False,False,False,False,00:00:00.43
