InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_38_50_pe_0%_po_30.0%_1.txt,Greedy_SF,None,,38,50,1900,1900,259,570,259,570,0.3,0.3,1,False,True,False,False,00:00:00.90
random_nrc_38_50_pe_0%_po_30.0%_2.txt,Greedy_SF,None,,38,50,1900,1900,263,570,263,570,0.3,0.3,1,False,True,False,False,00:00:00.84
random_nrc_38_50_pe_0%_po_30.0%_3.txt,Greedy_SF,None,,38,50,1900,1900,257,570,257,570,0.3,0.3,1,False,True,False,False,00:00:00.78
random_nrc_38_50_pe_0%_po_30.0%_4.txt,Greedy_SF,None,,38,50,1900,1900,262,570,262,570,0.3,0.3,1,False,True,False,False,00:00:00.81
random_nrc_38_50_pe_0%_po_30.0%_5.txt,Greedy_SF,None,,38,50,1900,1900,240,570,240,570,0.3,0.3,1,False,True,False,False,00:00:00.70
random_nrc_38_50_pe_0%_po_50.0%_1.txt,Greedy_SF,None,,38,50,1900,1900,429,950,390,737,0.38789473684210524,0.5,1,False,False,False,False,00:00:00.98
random_nrc_38_50_pe_0%_po_50.0%_2.txt,Greedy_SF,None,,38,50,1900,1900,460,950,419,760,0.4,0.5,1,False,False,False,False,00:00:00.96
random_nrc_38_50_pe_0%_po_50.0%_3.txt,Greedy_SF,None,,38,50,1900,1900,442,950,406,763,0.40157894736842104,0.5,1,False,False,False,False,00:00:00.99
random_nrc_38_50_pe_0%_po_50.0%_4.txt,Greedy_SF,None,,38,50,1900,1900,425,950,388,755,0.3973684210526316,0.5,1,False,False,False,False,00:00:00.96
random_nrc_38_50_pe_0%_po_50.0%_5.txt,Greedy_SF,None,,38,50,1900,1900,442,950,405,755,0.3973684210526316,0.5,1,False,False,False,False,00:00:01.05
random_nrc_38_50_pe_0%_po_70.0%_1.txt,Greedy_SF,None,,38,50,1900,1900,600,1330,476,832,0.4378947368421053,0.7,1,False,False,False,False,00:00:01.06
random_nrc_38_50_pe_0%_po_70.0%_2.txt,Greedy_SF,None,,38,50,1900,1900,584,1330,467,833,0.43842105263157893,0.7,1,False,False,False,False,00:00:01.03
random_nrc_38_50_pe_0%_po_70.0%_3.txt,Greedy_SF,None,,38,50,1900,1900,589,1330,472,820,0.43157894736842106,0.7,1,False,False,False,False,00:00:01.06
random_nrc_38_50_pe_0%_po_70.0%_4.txt,Greedy_SF,None,,38,50,1900,1900,594,1330,466,802,0.42210526315789476,0.7,1,False,False,False,False,00:00:01.09
random_nrc_38_50_pe_0%_po_70.0%_5.txt,Greedy_SF,None,,38,50,1900,1900,596,1330,468,829,0.4363157894736842,0.7,1,False,False,False,False,00:00:01.06
random_nrc_38_50_pe_0%_po_90.0%_1.txt,Greedy_SF,None,,38,50,1900,1900,747,1710,473,816,0.42947368421052634,0.9,1,False,False,False,False,00:00:01.09
random_nrc_38_50_pe_0%_po_90.0%_2.txt,Greedy_SF,None,,38,50,1900,1900,768,1710,498,833,0.43842105263157893,0.9,1,False,False,False,False,00:00:01.22
random_nrc_38_50_pe_0%_po_90.0%_3.txt,Greedy_SF,None,,38,50,1900,1900,759,1710,483,814,0.4284210526315789,0.9,1,False,False,False,False,00:00:01.04
random_nrc_38_50_pe_0%_po_90.0%_4.txt,Greedy_SF,None,,38,50,1900,1900,758,1710,482,813,0.42789473684210527,0.9,1,False,False,False,False,00:00:01.09
random_nrc_38_50_pe_0%_po_90.0%_5.txt,Greedy_SF,None,,38,50,1900,1900,761,1710,491,836,0.44,0.9,1,False,False,False,False,00:00:01.14
random_nrc_38_50_pe_20.0%_po_30.0%_1.txt,Greedy_SF,None,,38,50,1900,1496,185,449,185,449,0.30013368983957217,0.30013368983957217,0.7873684210526316,False,True,False,False,00:00:00.29
random_nrc_38_50_pe_20.0%_po_30.0%_2.txt,Greedy_SF,None,,38,50,1900,1540,199,462,199,462,0.3,0.3,0.8105263157894737,False,True,False,False,00:00:00.27
random_nrc_38_50_pe_20.0%_po_30.0%_3.txt,Greedy_SF,None,,38,50,1900,1526,207,458,207,458,0.30013106159895153,0.30013106159895153,0.8031578947368421,False,True,False,False,00:00:00.34
random_nrc_38_50_pe_20.0%_po_30.0%_4.txt,Greedy_SF,None,,38,50,1900,1552,205,466,205,466,0.3002577319587629,0.3002577319587629,0.8168421052631579,False,True,False,False,00:00:00.27
random_nrc_38_50_pe_20.0%_po_30.0%_5.txt,Greedy_SF,None,,38,50,1900,1502,211,451,211,451,0.3002663115845539,0.3002663115845539,0.7905263157894736,False,True,False,False,00:00:00.37
random_nrc_38_50_pe_20.0%_po_50.0%_1.txt,Greedy_SF,None,,38,50,1900,1496,343,748,305,570,0.3810160427807487,0.5,0.7873684210526316,False,False,False,False,00:00:00.41
random_nrc_38_50_pe_20.0%_po_50.0%_2.txt,Greedy_SF,None,,38,50,1900,1547,348,774,316,598,0.3865546218487395,0.5003232062055591,0.8142105263157895,False,False,False,False,00:00:00.45
random_nrc_38_50_pe_20.0%_po_50.0%_3.txt,Greedy_SF,None,,38,50,1900,1498,344,749,306,578,0.38584779706275035,0.5,0.7884210526315789,False,False,False,False,00:00:00.38
random_nrc_38_50_pe_20.0%_po_50.0%_4.txt,Greedy_SF,None,,38,50,1900,1519,333,760,302,578,0.380513495720869,0.500329163923634,0.7994736842105263,False,False,False,False,00:00:00.45
random_nrc_38_50_pe_20.0%_po_50.0%_5.txt,Greedy_SF,None,,38,50,1900,1517,345,758,308,583,0.3843111404087014,0.4996704021094265,0.7984210526315789,False,False,False,False,00:00:00.43
random_nrc_38_50_pe_20.0%_po_70.0%_1.txt,Greedy_SF,None,,38,50,1900,1526,487,1068,345,591,0.3872870249017038,0.6998689384010485,0.8031578947368421,False,False,False,False,00:00:00.45
random_nrc_38_50_pe_20.0%_po_70.0%_2.txt,Greedy_SF,None,,38,50,1900,1515,467,1060,339,597,0.3940594059405941,0.6996699669966997,0.7973684210526316,False,False,False,False,00:00:00.48
random_nrc_38_50_pe_20.0%_po_70.0%_3.txt,Greedy_SF,None,,38,50,1900,1504,472,1053,339,580,0.38563829787234044,0.7001329787234043,0.791578947368421,False,False,False,False,00:00:00.43
random_nrc_38_50_pe_20.0%_po_70.0%_4.txt,Greedy_SF,None,,38,50,1900,1493,466,1045,336,579,0.38780977896851976,0.6999330207635633,0.7857894736842105,False,False,False,False,00:00:00.51
random_nrc_38_50_pe_20.0%_po_70.0%_5.txt,Greedy_SF,None,,38,50,1900,1506,490,1054,340,590,0.39176626826029215,0.699867197875166,0.7926315789473685,False,False,False,False,00:00:00.37
random_nrc_38_50_pe_20.0%_po_90.0%_1.txt,Greedy_SF,None,,38,50,1900,1553,631,1398,347,583,0.37540244687701224,0.9001931745009659,0.8173684210526316,False,False,False,False,00:00:00.41
random_nrc_38_50_pe_20.0%_po_90.0%_2.txt,Greedy_SF,None,,38,50,1900,1529,602,1376,363,613,0.40091563113145845,0.8999345977763243,0.8047368421052632,False,False,False,False,00:00:00.50
random_nrc_38_50_pe_20.0%_po_90.0%_3.txt,Greedy_SF,None,,38,50,1900,1534,630,1381,352,568,0.37027379400260757,0.9002607561929595,0.8073684210526316,False,False,False,False,00:00:00.56
random_nrc_38_50_pe_20.0%_po_90.0%_4.txt,Greedy_SF,None,,38,50,1900,1539,626,1385,348,580,0.37686809616634176,0.8999350227420403,0.81,False,False,False,False,00:00:00.49
random_nrc_38_50_pe_20.0%_po_90.0%_5.txt,Greedy_SF,None,,38,50,1900,1520,615,1368,345,567,0.3730263157894737,0.9,0.8,False,False,False,False,00:00:00.50
random_nrc_38_50_pe_40.0%_po_30.0%_1.txt,Greedy_SF,None,,38,50,1900,1132,160,340,160,340,0.3003533568904594,0.3003533568904594,0.5957894736842105,False,True,False,False,00:00:00.13
random_nrc_38_50_pe_40.0%_po_30.0%_2.txt,Greedy_SF,None,,38,50,1900,1098,145,329,143,313,0.28506375227686703,0.2996357012750455,0.5778947368421052,False,False,False,False,00:00:00.14
random_nrc_38_50_pe_40.0%_po_30.0%_3.txt,Greedy_SF,None,,38,50,1900,1156,151,347,149,331,0.28633217993079585,0.30017301038062283,0.608421052631579,False,False,False,False,00:00:00.11
random_nrc_38_50_pe_40.0%_po_30.0%_4.txt,Greedy_SF,None,,38,50,1900,1162,145,349,141,317,0.2728055077452668,0.3003442340791738,0.611578947368421,False,False,False,False,00:00:00.14
random_nrc_38_50_pe_40.0%_po_30.0%_5.txt,Greedy_SF,None,,38,50,1900,1162,154,349,149,309,0.26592082616179,0.3003442340791738,0.611578947368421,False,False,False,False,00:00:00.13
random_nrc_38_50_pe_40.0%_po_50.0%_1.txt,Greedy_SF,None,,38,50,1900,1209,256,604,228,450,0.37220843672456577,0.49958643507030603,0.6363157894736842,False,False,False,False,00:00:00.19
random_nrc_38_50_pe_40.0%_po_50.0%_2.txt,Greedy_SF,None,,38,50,1900,1132,240,566,210,396,0.3498233215547703,0.5,0.5957894736842105,False,False,False,False,00:00:00.18
random_nrc_38_50_pe_40.0%_po_50.0%_3.txt,Greedy_SF,None,,38,50,1900,1137,257,568,223,415,0.3649956024626209,0.4995602462620932,0.598421052631579,False,False,False,False,00:00:00.13
