InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_10_20_pe_0%_po_30.0%_1.txt,ILP_MIS,ILP,,10,20,200,200,32,60,32,60,0.3,0.3,1,False,True,False,False,00:00:00.42
random_nrc_10_20_pe_0%_po_30.0%_2.txt,ILP_MIS,ILP,,10,20,200,200,32,60,32,60,0.3,0.3,1,False,True,False,False,00:00:00.40
random_nrc_10_20_pe_0%_po_30.0%_3.txt,ILP_MIS,ILP,,10,20,200,200,30,60,30,60,0.3,0.3,1,False,True,False,False,00:00:00.42
random_nrc_10_20_pe_0%_po_30.0%_4.txt,ILP_MIS,ILP,,10,20,200,200,26,60,26,60,0.3,0.3,1,False,True,False,False,00:00:00.31
random_nrc_10_20_pe_0%_po_30.0%_5.txt,ILP_MIS,ILP,,10,20,200,200,27,60,27,60,0.3,0.3,1,False,True,False,False,00:00:00.35
random_nrc_10_20_pe_0%_po_50.0%_1.txt,ILP_MIS,ILP,,10,20,200,200,44,100,34,80,0.4,0.5,1,False,False,False,False,00:00:03.65
random_nrc_10_20_pe_0%_po_50.0%_2.txt,ILP_MIS,ILP,,10,20,200,200,46,100,39,86,0.43,0.5,1,False,False,False,False,00:00:03.39
random_nrc_10_20_pe_0%_po_50.0%_3.txt,ILP_MIS,ILP,,10,20,200,200,48,100,40,84,0.42,0.5,1,False,False,False,False,00:00:04.19
random_nrc_10_20_pe_0%_po_50.0%_4.txt,ILP_MIS,ILP,,10,20,200,200,45,100,37,84,0.42,0.5,1,False,False,False,False,00:00:03.79
random_nrc_10_20_pe_0%_po_50.0%_5.txt,ILP_MIS,ILP,,10,20,200,200,49,100,41,84,0.42,0.5,1,False,False,False,False,00:00:03.52
random_nrc_10_20_pe_0%_po_70.0%_1.txt,ILP_MIS,ILP,,10,20,200,200,65,140,43,93,0.465,0.7,1,False,False,False,False,00:00:18.94
random_nrc_10_20_pe_0%_po_70.0%_2.txt,ILP_MIS,ILP,,10,20,200,200,57,140,38,96,0.48,0.7,1,False,False,False,False,00:00:08.90
random_nrc_10_20_pe_0%_po_70.0%_3.txt,ILP_MIS,ILP,,10,20,200,200,68,140,42,88,0.44,0.7,1,False,False,False,False,00:00:09.52
random_nrc_10_20_pe_0%_po_70.0%_4.txt,ILP_MIS,ILP,,10,20,200,200,62,140,38,89,0.445,0.7,1,False,False,False,False,00:00:28.21
random_nrc_10_20_pe_0%_po_70.0%_5.txt,ILP_MIS,ILP,,10,20,200,200,66,140,44,92,0.46,0.7,1,False,False,False,False,00:00:10.07
random_nrc_10_20_pe_0%_po_90.0%_1.txt,ILP_MIS,ILP,,10,20,200,200,90,180,48,93,0.465,0.9,1,False,False,False,False,00:00:15.89
random_nrc_10_20_pe_0%_po_90.0%_2.txt,ILP_MIS,ILP,,10,20,200,200,80,180,37,93,0.465,0.9,1,False,False,False,False,00:00:13.07
random_nrc_10_20_pe_0%_po_90.0%_3.txt,ILP_MIS,ILP,,10,20,200,200,93,180,48,94,0.47,0.9,1,False,False,False,False,00:00:15.62
random_nrc_10_20_pe_0%_po_90.0%_4.txt,ILP_MIS,ILP,,10,20,200,200,85,180,50,96,0.48,0.9,1,False,False,False,False,00:00:16.29
random_nrc_10_20_pe_0%_po_90.0%_5.txt,ILP_MIS,ILP,,10,20,200,200,77,180,36,93,0.465,0.9,1,False,False,False,False,00:00:18.81
random_nrc_10_20_pe_20.0%_po_30.0%_1.txt,ILP_MIS,ILP,,10,20,200,162,23,49,23,49,0.30246913580246915,0.30246913580246915,0.81,False,True,False,False,00:00:00.06
random_nrc_10_20_pe_20.0%_po_30.0%_2.txt,ILP_MIS,ILP,,10,20,200,149,19,45,19,45,0.30201342281879195,0.30201342281879195,0.745,False,True,False,False,00:00:00.02
random_nrc_10_20_pe_20.0%_po_30.0%_3.txt,ILP_MIS,ILP,,10,20,200,152,22,46,22,46,0.3026315789473684,0.3026315789473684,0.76,False,True,False,False,00:00:00.04
random_nrc_10_20_pe_20.0%_po_30.0%_4.txt,ILP_MIS,ILP,,10,20,200,149,23,45,23,45,0.30201342281879195,0.30201342281879195,0.745,False,True,False,False,00:00:00.02
random_nrc_10_20_pe_20.0%_po_30.0%_5.txt,ILP_MIS,ILP,,10,20,200,159,24,48,24,48,0.3018867924528302,0.3018867924528302,0.795,False,True,False,False,00:00:00.07
