InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_13_10_pe_0%_po_30.0%_1.txt,ILP,None,,13,10,130,130,15,39,15,39,0.3,0.3,1,False,True,False,False,00:00:01.53
random_nrc_13_10_pe_0%_po_30.0%_2.txt,ILP,None,,13,10,130,130,19,39,19,39,0.3,0.3,1,False,True,False,False,00:00:02.34
random_nrc_13_10_pe_0%_po_30.0%_3.txt,ILP,None,,13,10,130,130,20,39,20,39,0.3,0.3,1,False,True,False,False,00:00:02.43
random_nrc_13_10_pe_0%_po_30.0%_4.txt,ILP,None,,13,10,130,130,16,39,16,39,0.3,0.3,1,False,True,False,False,00:00:01.52
random_nrc_13_10_pe_0%_po_30.0%_5.txt,ILP,None,,13,10,130,130,21,39,21,39,0.3,0.3,1,False,True,False,False,00:00:02.82
random_nrc_13_10_pe_0%_po_50.0%_1.txt,ILP,None,,13,10,130,130,29,65,0,0,0,0.5,1,True,False,True,False,00:05:00.00
random_nrc_13_10_pe_0%_po_50.0%_2.txt,ILP,None,,13,10,130,130,28,65,0,0,0,0.5,1,True,False,True,False,00:05:00.00
random_nrc_13_10_pe_0%_po_50.0%_3.txt,ILP,None,,13,10,130,130,30,65,0,0,0,0.5,1,True,False,True,False,00:05:00.00
random_nrc_13_10_pe_0%_po_50.0%_4.txt,ILP,None,,13,10,130,130,27,65,0,0,0,0.5,1,True,False,True,False,00:05:00.00
random_nrc_13_10_pe_0%_po_50.0%_5.txt,ILP,None,,13,10,130,130,24,65,0,0,0,0.5,1,True,False,True,False,00:05:00.00
random_nrc_13_10_pe_0%_po_70.0%_1.txt,ILP,None,,13,10,130,130,43,91,33,65,0.5,0.7,1,False,False,False,False,00:02:27.40
random_nrc_13_10_pe_0%_po_70.0%_2.txt,ILP,None,,13,10,130,130,42,91,33,65,0.5,0.7,1,False,False,False,False,00:02:56.31
random_nrc_13_10_pe_0%_po_70.0%_3.txt,ILP,None,,13,10,130,130,31,91,20,65,0.5,0.7,1,False,False,False,False,00:01:32.53
random_nrc_13_10_pe_0%_po_70.0%_4.txt,ILP,None,,13,10,130,130,47,91,32,65,0.5,0.7,1,False,False,False,False,00:02:59.07
random_nrc_13_10_pe_0%_po_70.0%_5.txt,ILP,None,,13,10,130,130,41,91,27,65,0.5,0.7,1,False,False,False,False,00:02:46.75
random_nrc_13_10_pe_0%_po_90.0%_1.txt,ILP,None,,13,10,130,130,45,117,0,0,0,0.9,1,True,False,True,False,00:05:00.00
random_nrc_13_10_pe_0%_po_90.0%_2.txt,ILP,None,,13,10,130,130,61,117,0,0,0,0.9,1,True,False,True,False,00:05:00.00
random_nrc_13_10_pe_0%_po_90.0%_3.txt,ILP,None,,13,10,130,130,54,117,0,0,0,0.9,1,True,False,True,False,00:05:00.00
random_nrc_13_10_pe_0%_po_90.0%_4.txt,ILP,None,,13,10,130,130,52,117,31,65,0.5,0.9,1,False,False,False,False,00:04:23.12
random_nrc_13_10_pe_0%_po_90.0%_5.txt,ILP,None,,13,10,130,130,56,117,31,65,0.5,0.9,1,False,False,False,False,00:03:56.63
