InstanceFile,MISType,Width,Height,Size,Capacity,Timeout,ConstructionTime,MISFindingTime,MISLength
random_nrc_20_70_pe_0%_po_30.0%_1.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_30.0%_2.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_30.0%_3.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_30.0%_4.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_30.0%_5.txt,Greedy,20,70,1400,1400,False,00:00:00.12,00:00:00.00,246
random_nrc_20_70_pe_0%_po_50.0%_1.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_50.0%_2.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_50.0%_3.txt,Greedy,20,70,1400,1400,False,00:00:00.08,00:00:00.00,246
random_nrc_20_70_pe_0%_po_50.0%_4.txt,Greedy,20,70,1400,1400,False,00:00:00.08,00:00:00.00,246
random_nrc_20_70_pe_0%_po_50.0%_5.txt,Greedy,20,70,1400,1400,False,00:00:00.08,00:00:00.00,246
random_nrc_20_70_pe_0%_po_70.0%_1.txt,Greedy,20,70,1400,1400,False,00:00:00.08,00:00:00.00,246
random_nrc_20_70_pe_0%_po_70.0%_2.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_70.0%_3.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_70.0%_4.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_70.0%_5.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_90.0%_1.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_90.0%_2.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
random_nrc_20_70_pe_0%_po_90.0%_3.txt,Greedy,20,70,1400,1400,False,00:00:00.09,00:00:00.00,246
