InstanceFile,MISType,Width,Height,Size,Capacity,Timeout,ConstructionTime,MISFindingTime,MISLength
random_nrc_20_70_pe_0%_po_30.0%_1.txt,ILP,20,70,1400,1400,False,00:00:00.10,00:00:02.02,350
random_nrc_20_70_pe_0%_po_30.0%_2.txt,ILP,20,70,1400,1400,False,00:00:00.11,00:00:02.15,350
random_nrc_20_70_pe_0%_po_30.0%_3.txt,ILP,20,70,1400,1400,False,00:00:00.11,00:00:01.87,350
random_nrc_20_70_pe_0%_po_30.0%_4.txt,ILP,20,70,1400,1400,False,00:00:00.10,00:00:01.62,350
random_nrc_20_70_pe_0%_po_30.0%_5.txt,ILP,20,70,1400,1400,False,00:00:00.11,00:00:01.54,350
random_nrc_20_70_pe_0%_po_50.0%_1.txt,ILP,20,70,1400,1400,False,00:00:00.08,00:00:01.53,350
random_nrc_20_70_pe_0%_po_50.0%_2.txt,ILP,20,70,1400,1400,False,00:00:00.09,00:00:01.40,350
random_nrc_20_70_pe_0%_po_50.0%_3.txt,ILP,20,70,1400,1400,False,00:00:00.08,00:00:01.48,350
random_nrc_20_70_pe_0%_po_50.0%_4.txt,ILP,20,70,1400,1400,False,00:00:00.09,00:00:01.78,350
random_nrc_20_70_pe_0%_po_50.0%_5.txt,ILP,20,70,1400,1400,False,00:00:00.08,00:00:01.76,350
random_nrc_20_70_pe_0%_po_70.0%_1.txt,ILP,20,70,1400,1400,False,00:00:00.08,00:00:02.10,350
random_nrc_20_70_pe_0%_po_70.0%_2.txt,ILP,20,70,1400,1400,False,00:00:00.09,00:00:01.67,350
random_nrc_20_70_pe_0%_po_70.0%_3.txt,ILP,20,70,1400,1400,False,00:00:00.08,00:00:01.42,350
random_nrc_20_70_pe_0%_po_70.0%_4.txt,ILP,20,70,1400,1400,False,00:00:00.09,00:00:01.44,350
random_nrc_20_70_pe_0%_po_70.0%_5.txt,ILP,20,70,1400,1400,False,00:00:00.08,00:00:01.48,350
random_nrc_20_70_pe_0%_po_90.0%_1.txt,ILP,20,70,1400,1400,False,00:00:00.09,00:00:01.51,350
random_nrc_20_70_pe_0%_po_90.0%_2.txt,ILP,20,70,1400,1400,False,00:00:00.10,00:00:01.61,350
