InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_50_50_pe_0%_po_30.0%_1.txt,Greedy_LF,None,,50,50,2500,2500,350,750,321,721,0.2884,0.3,1,True,False,False,False,00:00:00.83
random_nrc_50_50_pe_0%_po_30.0%_2.txt,Greedy_LF,None,,50,50,2500,2500,327,750,307,730,0.292,0.3,1,True,False,False,False,00:00:00.79
random_nrc_50_50_pe_0%_po_30.0%_3.txt,Greedy_LF,None,,50,50,2500,2500,316,750,304,738,0.2952,0.3,1,True,False,False,False,00:00:00.74
random_nrc_50_50_pe_0%_po_30.0%_4.txt,Greedy_LF,None,,50,50,2500,2500,334,750,312,728,0.2912,0.3,1,True,False,False,False,00:00:00.81
random_nrc_50_50_pe_0%_po_30.0%_5.txt,Greedy_LF,None,,50,50,2500,2500,305,750,305,750,0.3,0.3,1,True,True,False,False,00:00:00.69
random_nrc_50_50_pe_0%_po_50.0%_1.txt,Greedy_LF,None,,50,50,2500,2500,577,1250,286,786,0.3144,0.5,1,True,False,False,False,00:00:00.71
random_nrc_50_50_pe_0%_po_50.0%_2.txt,Greedy_LF,None,,50,50,2500,2500,553,1250,277,800,0.32,0.5,1,True,False,False,False,00:00:00.66
random_nrc_50_50_pe_0%_po_50.0%_3.txt,Greedy_LF,None,,50,50,2500,2500,585,1250,289,775,0.31,0.5,1,True,False,False,False,00:00:00.69
random_nrc_50_50_pe_0%_po_50.0%_4.txt,Greedy_LF,None,,50,50,2500,2500,550,1250,271,801,0.3204,0.5,1,True,False,False,False,00:00:00.63
random_nrc_50_50_pe_0%_po_50.0%_5.txt,Greedy_LF,None,,50,50,2500,2500,572,1250,283,776,0.3104,0.5,1,True,False,False,False,00:00:00.62
random_nrc_50_50_pe_0%_po_70.0%_1.txt,Greedy_LF,None,,50,50,2500,2500,774,1750,247,830,0.332,0.7,1,True,False,False,False,00:00:00.61
random_nrc_50_50_pe_0%_po_70.0%_2.txt,Greedy_LF,None,,50,50,2500,2500,809,1750,255,821,0.3284,0.7,1,True,False,False,False,00:00:00.63
random_nrc_50_50_pe_0%_po_70.0%_3.txt,Greedy_LF,None,,50,50,2500,2500,800,1750,261,823,0.3292,0.7,1,True,False,False,False,00:00:00.64
random_nrc_50_50_pe_0%_po_70.0%_4.txt,Greedy_LF,None,,50,50,2500,2500,825,1750,266,806,0.3224,0.7,1,True,False,False,False,00:00:00.64
random_nrc_50_50_pe_0%_po_70.0%_5.txt,Greedy_LF,None,,50,50,2500,2500,772,1750,245,836,0.3344,0.7,1,True,False,False,False,00:00:00.62
random_nrc_50_50_pe_0%_po_90.0%_1.txt,Greedy_LF,None,,50,50,2500,2500,1017,2250,225,878,0.3512,0.9,1,True,False,False,False,00:00:00.58
random_nrc_50_50_pe_0%_po_90.0%_2.txt,Greedy_LF,None,,50,50,2500,2500,995,2250,218,895,0.358,0.9,1,True,False,False,False,00:00:00.68
random_nrc_50_50_pe_0%_po_90.0%_3.txt,Greedy_LF,None,,50,50,2500,2500,1047,2250,235,852,0.3408,0.9,1,True,False,False,False,00:00:00.64
random_nrc_50_50_pe_0%_po_90.0%_4.txt,Greedy_LF,None,,50,50,2500,2500,1007,2250,223,876,0.3504,0.9,1,True,False,False,False,00:00:00.62
random_nrc_50_50_pe_0%_po_90.0%_5.txt,Greedy_LF,None,,50,50,2500,2500,999,2250,227,881,0.3524,0.9,1,True,False,False,False,00:00:00.63
random_nrc_50_50_pe_20.0%_po_30.0%_1.txt,Greedy_LF,None,,50,50,2500,1982,274,595,274,595,0.3002018163471241,0.3002018163471241,0.7928,True,True,False,False,00:00:00.31
random_nrc_50_50_pe_20.0%_po_30.0%_2.txt,Greedy_LF,None,,50,50,2500,1987,253,596,253,596,0.2999496728736789,0.2999496728736789,0.7948,True,True,False,False,00:00:00.28
random_nrc_50_50_pe_20.0%_po_30.0%_3.txt,Greedy_LF,None,,50,50,2500,2008,280,602,280,602,0.299800796812749,0.299800796812749,0.8032,True,True,False,False,00:00:00.33
random_nrc_50_50_pe_20.0%_po_30.0%_4.txt,Greedy_LF,None,,50,50,2500,1977,281,593,281,593,0.2999494183105716,0.2999494183105716,0.7908,True,True,False,False,00:00:00.32
random_nrc_50_50_pe_20.0%_po_30.0%_5.txt,Greedy_LF,None,,50,50,2500,1970,285,591,285,591,0.3,0.3,0.788,True,True,False,False,00:00:00.32
random_nrc_50_50_pe_20.0%_po_50.0%_1.txt,Greedy_LF,None,,50,50,2500,1966,430,983,271,703,0.3575788402848423,0.5,0.7864,True,False,False,False,00:00:00.25
