InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_10_12_pe_0%_po_30.0%_1.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,18,36,10,25,0.20833333333333334,0.3,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_30.0%_2.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,16,36,10,27,0.225,0.3,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_30.0%_3.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,17,36,10,24,0.2,0.3,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_30.0%_4.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,16,36,10,25,0.20833333333333334,0.3,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_30.0%_5.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,19,36,11,25,0.20833333333333334,0.3,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_50.0%_1.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,31,60,10,24,0.2,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_50.0%_2.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,29,60,8,24,0.2,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_50.0%_3.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,26,60,8,27,0.225,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_50.0%_4.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,25,60,8,31,0.25833333333333336,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_50.0%_5.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,29,60,8,23,0.19166666666666668,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_70.0%_1.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,38,84,8,32,0.26666666666666666,0.7,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_70.0%_2.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,38,84,8,29,0.24166666666666667,0.7,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_70.0%_3.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,41,84,8,25,0.20833333333333334,0.7,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_70.0%_4.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,39,84,8,27,0.225,0.7,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_70.0%_5.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,43,84,8,26,0.21666666666666667,0.7,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_90.0%_1.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,48,108,8,35,0.2916666666666667,0.9,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_90.0%_2.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,50,108,8,31,0.25833333333333336,0.9,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_90.0%_3.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,49,108,8,26,0.21666666666666667,0.9,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_90.0%_4.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,47,108,8,38,0.31666666666666665,0.9,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_0%_po_90.0%_5.txt,Greedy_MIS_LF,Greedy,,10,12,120,120,42,108,8,39,0.325,0.9,1,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_30.0%_1.txt,Greedy_MIS_LF,Greedy,,10,12,120,94,16,28,13,25,0.26595744680851063,0.2978723404255319,0.7833333333333333,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_30.0%_2.txt,Greedy_MIS_LF,Greedy,,10,12,120,93,12,28,12,28,0.3010752688172043,0.3010752688172043,0.775,True,True,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_30.0%_3.txt,Greedy_MIS_LF,Greedy,,10,12,120,98,16,29,13,25,0.25510204081632654,0.29591836734693877,0.8166666666666667,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_30.0%_4.txt,Greedy_MIS_LF,Greedy,,10,12,120,91,11,27,11,27,0.2967032967032967,0.2967032967032967,0.7583333333333333,True,True,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_30.0%_5.txt,Greedy_MIS_LF,Greedy,,10,12,120,93,13,28,13,28,0.3010752688172043,0.3010752688172043,0.775,True,True,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_50.0%_1.txt,Greedy_MIS_LF,Greedy,,10,12,120,98,19,49,14,27,0.2755102040816326,0.5,0.8166666666666667,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_50.0%_2.txt,Greedy_MIS_LF,Greedy,,10,12,120,91,26,46,12,22,0.24175824175824176,0.5054945054945055,0.7583333333333333,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_50.0%_3.txt,Greedy_MIS_LF,Greedy,,10,12,120,94,27,47,12,24,0.2553191489361702,0.5,0.7833333333333333,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_50.0%_4.txt,Greedy_MIS_LF,Greedy,,10,12,120,91,18,46,14,32,0.3516483516483517,0.5054945054945055,0.7583333333333333,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_50.0%_5.txt,Greedy_MIS_LF,Greedy,,10,12,120,98,22,49,12,29,0.29591836734693877,0.5,0.8166666666666667,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_70.0%_1.txt,Greedy_MIS_LF,Greedy,,10,12,120,96,31,67,17,33,0.34375,0.6979166666666666,0.8,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_70.0%_2.txt,Greedy_MIS_LF,Greedy,,10,12,120,102,38,71,10,22,0.21568627450980393,0.696078431372549,0.85,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_70.0%_3.txt,Greedy_MIS_LF,Greedy,,10,12,120,98,36,69,12,28,0.2857142857142857,0.7040816326530612,0.8166666666666667,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_70.0%_4.txt,Greedy_MIS_LF,Greedy,,10,12,120,102,32,71,14,39,0.38235294117647056,0.696078431372549,0.85,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_70.0%_5.txt,Greedy_MIS_LF,Greedy,,10,12,120,101,34,71,15,37,0.36633663366336633,0.7029702970297029,0.8416666666666667,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_90.0%_1.txt,Greedy_MIS_LF,Greedy,,10,12,120,102,39,92,12,40,0.39215686274509803,0.9019607843137255,0.85,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_90.0%_2.txt,Greedy_MIS_LF,Greedy,,10,12,120,106,46,95,14,35,0.330188679245283,0.8962264150943396,0.8833333333333333,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_90.0%_3.txt,Greedy_MIS_LF,Greedy,,10,12,120,97,38,87,16,35,0.36082474226804123,0.8969072164948454,0.8083333333333333,True,False,False,False,00:00:00.00
random_nrc_10_12_pe_20.0%_po_90.0%_4.txt,Greedy_MIS_LF,Greedy,,10,12,120,98,41,88,14,34,0.3469387755102041,0.8979591836734694,0.8166666666666667,True,False,False,False,00:00:00.00
