InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_50_50_pe_0%_po_30.0%_1.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,350,750,228,577,0.2308,0.3,1,True,False,False,False,00:00:00.03
random_nrc_50_50_pe_0%_po_30.0%_2.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,327,750,212,582,0.2328,0.3,1,True,False,False,False,00:00:00.02
random_nrc_50_50_pe_0%_po_30.0%_3.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,316,750,227,632,0.2528,0.3,1,True,False,False,False,00:00:00.02
random_nrc_50_50_pe_0%_po_30.0%_4.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,334,750,226,592,0.2368,0.3,1,True,False,False,False,00:00:00.02
random_nrc_50_50_pe_0%_po_30.0%_5.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,305,750,227,640,0.256,0.3,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_50.0%_1.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,577,1250,231,669,0.2676,0.5,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_50.0%_2.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,553,1250,233,709,0.2836,0.5,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_50.0%_3.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,585,1250,227,651,0.2604,0.5,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_50.0%_4.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,550,1250,217,690,0.276,0.5,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_50.0%_5.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,572,1250,228,677,0.2708,0.5,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_70.0%_1.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,774,1750,231,800,0.32,0.7,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_70.0%_2.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,809,1750,235,784,0.3136,0.7,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_70.0%_3.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,800,1750,227,760,0.304,0.7,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_70.0%_4.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,825,1750,210,699,0.2796,0.7,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_70.0%_5.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,772,1750,222,787,0.3148,0.7,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_90.0%_1.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,1017,2250,223,871,0.3484,0.9,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_90.0%_2.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,995,2250,234,915,0.366,0.9,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_90.0%_3.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,1047,2250,203,793,0.3172,0.9,1,True,False,False,False,00:00:00.01
random_nrc_50_50_pe_0%_po_90.0%_4.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,1007,2250,233,884,0.3536,0.9,1,True,False,False,False,00:00:00.02
random_nrc_50_50_pe_0%_po_90.0%_5.txt,Greedy_MIS_LF,ILP,,50,50,2500,2500,999,2250,213,844,0.3376,0.9,1,True,False,False,False,00:00:00.01
