InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_38_50_pe_0%_po_30.0%_1.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,259,570,245,507,0.2668421052631579,0.3,1,True,False,False,False,00:00:00.02
random_nrc_38_50_pe_0%_po_30.0%_2.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,263,570,238,517,0.27210526315789474,0.3,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_30.0%_3.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,257,570,236,521,0.27421052631578946,0.3,1,True,False,False,False,00:00:00.01
random_nrc_38_50_pe_0%_po_30.0%_4.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,262,570,235,522,0.27473684210526317,0.3,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_30.0%_5.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,240,570,234,522,0.27473684210526317,0.3,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_50.0%_1.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,429,950,217,563,0.2963157894736842,0.5,1,True,False,False,False,00:00:00.01
random_nrc_38_50_pe_0%_po_50.0%_2.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,460,950,223,552,0.2905263157894737,0.5,1,True,False,False,False,00:00:00.01
random_nrc_38_50_pe_0%_po_50.0%_3.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,442,950,216,564,0.2968421052631579,0.5,1,True,False,False,False,00:00:00.01
random_nrc_38_50_pe_0%_po_50.0%_4.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,425,950,214,571,0.3005263157894737,0.5,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_50.0%_5.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,442,950,222,556,0.2926315789473684,0.5,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_70.0%_1.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,600,1330,205,586,0.30842105263157893,0.7,1,True,False,False,False,00:00:00.01
random_nrc_38_50_pe_0%_po_70.0%_2.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,584,1330,202,594,0.3126315789473684,0.7,1,True,False,False,False,00:00:00.01
random_nrc_38_50_pe_0%_po_70.0%_3.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,589,1330,204,589,0.31,0.7,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_70.0%_4.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,594,1330,203,592,0.31157894736842107,0.7,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_70.0%_5.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,596,1330,205,588,0.3094736842105263,0.7,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_90.0%_1.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,747,1710,195,604,0.3178947368421053,0.9,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_90.0%_2.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,768,1710,182,629,0.3310526315789474,0.9,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_90.0%_3.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,759,1710,197,605,0.31842105263157894,0.9,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_90.0%_4.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,758,1710,188,619,0.3257894736842105,0.9,1,True,False,False,False,00:00:00.00
random_nrc_38_50_pe_0%_po_90.0%_5.txt,Greedy_MIS_SF,Greedy,,38,50,1900,1900,761,1710,189,621,0.3268421052631579,0.9,1,True,False,False,False,00:00:00.00
