InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_10_14_pe_0%_po_30.0%_1.txt,Greedy_MIS_SF,ILP,,10,14,140,140,19,42,19,42,0.3,0.3,1,True,True,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_30.0%_2.txt,Greedy_MIS_SF,ILP,,10,14,140,140,19,42,19,42,0.3,0.3,1,True,True,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_30.0%_3.txt,Greedy_MIS_SF,ILP,,10,14,140,140,22,42,20,40,0.2857142857142857,0.3,1,True,False,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_30.0%_4.txt,Greedy_MIS_SF,ILP,,10,14,140,140,19,42,18,41,0.29285714285714287,0.3,1,True,False,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_30.0%_5.txt,Greedy_MIS_SF,ILP,,10,14,140,140,21,42,19,40,0.2857142857142857,0.3,1,True,False,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_50.0%_1.txt,Greedy_MIS_SF,ILP,,10,14,140,140,36,70,18,45,0.32142857142857145,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_50.0%_2.txt,Greedy_MIS_SF,ILP,,10,14,140,140,32,70,18,47,0.3357142857142857,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_50.0%_3.txt,Greedy_MIS_SF,ILP,,10,14,140,140,31,70,19,47,0.3357142857142857,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_50.0%_4.txt,Greedy_MIS_SF,ILP,,10,14,140,140,30,70,18,47,0.3357142857142857,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_50.0%_5.txt,Greedy_MIS_SF,ILP,,10,14,140,140,28,70,17,49,0.35,0.5,1,True,False,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_70.0%_1.txt,Greedy_MIS_SF,ILP,,10,14,140,140,36,98,19,50,0.35714285714285715,0.7,1,True,False,False,False,00:00:00.00
random_nrc_10_14_pe_0%_po_70.0%_2.txt,Greedy_MIS_SF,ILP,,10,14,140,140,49,98,18,48,0.34285714285714286,0.7,1,True,False,False,False,00:00:00.00
