InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_50_32_pe_0%_po_30.0%_1.txt,Greedy_SF,None,,50,32,1600,1600,227,480,211,405,0.253125,0.3,1,True,False,False,False,00:00:00.61
random_nrc_50_32_pe_0%_po_30.0%_2.txt,Greedy_SF,None,,50,32,1600,1600,212,480,201,418,0.26125,0.3,1,True,False,False,False,00:00:00.47
random_nrc_50_32_pe_0%_po_30.0%_3.txt,Greedy_SF,None,,50,32,1600,1600,210,480,200,424,0.265,0.3,1,True,False,False,False,00:00:00.49
random_nrc_50_32_pe_0%_po_30.0%_4.txt,Greedy_SF,None,,50,32,1600,1600,218,480,207,410,0.25625,0.3,1,True,False,False,False,00:00:00.56
random_nrc_50_32_pe_0%_po_30.0%_5.txt,Greedy_SF,None,,50,32,1600,1600,209,480,201,422,0.26375,0.3,1,True,False,False,False,00:00:00.44
random_nrc_50_32_pe_0%_po_50.0%_1.txt,Greedy_SF,None,,50,32,1600,1600,348,800,222,384,0.24,0.5,1,True,False,False,False,00:00:00.48
random_nrc_50_32_pe_0%_po_50.0%_2.txt,Greedy_SF,None,,50,32,1600,1600,354,800,225,377,0.235625,0.5,1,True,False,False,False,00:00:00.53
random_nrc_50_32_pe_0%_po_50.0%_3.txt,Greedy_SF,None,,50,32,1600,1600,341,800,221,385,0.240625,0.5,1,True,False,False,False,00:00:00.50
random_nrc_50_32_pe_0%_po_50.0%_4.txt,Greedy_SF,None,,50,32,1600,1600,360,800,224,380,0.2375,0.5,1,True,False,False,False,00:00:00.54
random_nrc_50_32_pe_0%_po_50.0%_5.txt,Greedy_SF,None,,50,32,1600,1600,359,800,222,384,0.24,0.5,1,True,False,False,False,00:00:00.44
random_nrc_50_32_pe_0%_po_70.0%_1.txt,Greedy_SF,None,,50,32,1600,1600,522,1120,232,360,0.225,0.7,1,True,False,False,False,00:00:00.50
random_nrc_50_32_pe_0%_po_70.0%_2.txt,Greedy_SF,None,,50,32,1600,1600,495,1120,231,366,0.22875,0.7,1,True,False,False,False,00:00:00.52
random_nrc_50_32_pe_0%_po_70.0%_3.txt,Greedy_SF,None,,50,32,1600,1600,489,1120,229,367,0.229375,0.7,1,True,False,False,False,00:00:00.61
random_nrc_50_32_pe_0%_po_70.0%_4.txt,Greedy_SF,None,,50,32,1600,1600,520,1120,235,355,0.221875,0.7,1,True,False,False,False,00:00:00.65
random_nrc_50_32_pe_0%_po_70.0%_5.txt,Greedy_SF,None,,50,32,1600,1600,513,1120,231,365,0.228125,0.7,1,True,False,False,False,00:00:00.60
random_nrc_50_32_pe_0%_po_90.0%_1.txt,Greedy_SF,None,,50,32,1600,1600,620,1440,231,363,0.226875,0.9,1,True,False,False,False,00:00:00.53
random_nrc_50_32_pe_0%_po_90.0%_2.txt,Greedy_SF,None,,50,32,1600,1600,636,1440,236,351,0.219375,0.9,1,True,False,False,False,00:00:00.60
random_nrc_50_32_pe_0%_po_90.0%_3.txt,Greedy_SF,None,,50,32,1600,1600,630,1440,238,349,0.218125,0.9,1,True,False,False,False,00:00:00.59
