InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_10_15_pe_0%_po_30.0%_1.txt,ILP_MIS,Greedy,,10,15,150,150,22,45,18,38,0.25333333333333335,0.3,1,True,False,False,False,00:00:00.01
random_nrc_10_15_pe_0%_po_30.0%_2.txt,ILP_MIS,Greedy,,10,15,150,150,20,45,17,39,0.26,0.3,1,True,False,False,False,00:00:00.01
random_nrc_10_15_pe_0%_po_30.0%_3.txt,ILP_MIS,Greedy,,10,15,150,150,17,45,16,43,0.2866666666666667,0.3,1,True,False,False,False,00:00:00.00
random_nrc_10_15_pe_0%_po_30.0%_4.txt,ILP_MIS,Greedy,,10,15,150,150,22,45,17,36,0.24,0.3,1,True,False,False,False,00:00:00.01
random_nrc_10_15_pe_0%_po_30.0%_5.txt,ILP_MIS,Greedy,,10,15,150,150,18,45,16,42,0.28,0.3,1,True,False,False,False,00:00:00.01
random_nrc_10_15_pe_0%_po_50.0%_1.txt,ILP_MIS,Greedy,,10,15,150,150,34,75,18,44,0.29333333333333333,0.5,1,True,False,False,False,00:00:00.16
random_nrc_10_15_pe_0%_po_50.0%_2.txt,ILP_MIS,Greedy,,10,15,150,150,35,75,17,42,0.28,0.5,1,True,False,False,False,00:00:00.32
random_nrc_10_15_pe_0%_po_50.0%_3.txt,ILP_MIS,Greedy,,10,15,150,150,34,75,18,44,0.29333333333333333,0.5,1,True,False,False,False,00:00:00.12
random_nrc_10_15_pe_0%_po_50.0%_4.txt,ILP_MIS,Greedy,,10,15,150,150,33,75,16,42,0.28,0.5,1,True,False,False,False,00:00:00.09
random_nrc_10_15_pe_0%_po_50.0%_5.txt,ILP_MIS,Greedy,,10,15,150,150,38,75,19,39,0.26,0.5,1,True,False,False,False,00:00:00.14
random_nrc_10_15_pe_0%_po_70.0%_1.txt,ILP_MIS,Greedy,,10,15,150,150,53,105,19,42,0.28,0.7,1,True,False,False,False,00:00:00.47
random_nrc_10_15_pe_0%_po_70.0%_2.txt,ILP_MIS,Greedy,,10,15,150,150,47,105,17,49,0.32666666666666666,0.7,1,True,False,False,False,00:00:00.27
random_nrc_10_15_pe_0%_po_70.0%_3.txt,ILP_MIS,Greedy,,10,15,150,150,45,105,15,50,0.3333333333333333,0.7,1,True,False,False,False,00:00:00.45
random_nrc_10_15_pe_0%_po_70.0%_4.txt,ILP_MIS,Greedy,,10,15,150,150,51,105,18,45,0.3,0.7,1,True,False,False,False,00:00:00.29
random_nrc_10_15_pe_0%_po_70.0%_5.txt,ILP_MIS,Greedy,,10,15,150,150,38,105,13,57,0.38,0.7,1,True,False,False,False,00:00:00.50
random_nrc_10_15_pe_0%_po_90.0%_1.txt,ILP_MIS,Greedy,,10,15,150,150,67,135,19,46,0.30666666666666664,0.9,1,True,False,False,False,00:00:00.49
random_nrc_10_15_pe_0%_po_90.0%_2.txt,ILP_MIS,Greedy,,10,15,150,150,63,135,14,53,0.35333333333333333,0.9,1,True,False,False,False,00:00:00.69
random_nrc_10_15_pe_0%_po_90.0%_3.txt,ILP_MIS,Greedy,,10,15,150,150,63,135,17,46,0.30666666666666664,0.9,1,True,False,False,False,00:00:00.46
random_nrc_10_15_pe_0%_po_90.0%_4.txt,ILP_MIS,Greedy,,10,15,150,150,66,135,19,48,0.32,0.9,1,True,False,False,False,00:00:00.60
random_nrc_10_15_pe_0%_po_90.0%_5.txt,ILP_MIS,Greedy,,10,15,150,150,61,135,15,56,0.37333333333333335,0.9,1,True,False,False,False,00:00:00.66
random_nrc_10_15_pe_20.0%_po_30.0%_1.txt,ILP_MIS,Greedy,,10,15,150,115,16,34,14,30,0.2608695652173913,0.2956521739130435,0.7666666666666667,True,False,False,False,00:00:00.00
random_nrc_10_15_pe_20.0%_po_30.0%_2.txt,ILP_MIS,Greedy,,10,15,150,127,17,38,13,30,0.23622047244094488,0.2992125984251969,0.8466666666666667,True,False,False,False,00:00:00.00
random_nrc_10_15_pe_20.0%_po_30.0%_3.txt,ILP_MIS,Greedy,,10,15,150,117,20,35,18,31,0.26495726495726496,0.29914529914529914,0.78,True,False,False,False,00:00:00.01
random_nrc_10_15_pe_20.0%_po_30.0%_4.txt,ILP_MIS,Greedy,,10,15,150,120,18,36,15,30,0.25,0.3,0.8,True,False,False,False,00:00:00.01
random_nrc_10_15_pe_20.0%_po_30.0%_5.txt,ILP_MIS,Greedy,,10,15,150,118,11,35,11,35,0.2966101694915254,0.2966101694915254,0.7866666666666666,True,True,False,False,00:00:00.00
random_nrc_10_15_pe_20.0%_po_50.0%_1.txt,ILP_MIS,Greedy,,10,15,150,122,27,61,15,37,0.30327868852459017,0.5,0.8133333333333334,True,False,False,False,00:00:00.03
