InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_10_20_pe_0%_po_30.0%_1.txt,ILP_MIS,ILP,,10,20,200,200,32,60,27,50,0.25,0.3,1,True,False,False,False,00:00:00.61
random_nrc_10_20_pe_0%_po_30.0%_2.txt,ILP_MIS,ILP,,10,20,200,200,32,60,30,56,0.28,0.3,1,True,False,False,False,00:00:00.50
random_nrc_10_20_pe_0%_po_30.0%_3.txt,ILP_MIS,ILP,,10,20,200,200,30,60,25,50,0.25,0.3,1,True,False,False,False,00:00:00.47
random_nrc_10_20_pe_0%_po_30.0%_4.txt,ILP_MIS,ILP,,10,20,200,200,26,60,26,60,0.3,0.3,1,True,True,False,False,00:00:00.14
random_nrc_10_20_pe_0%_po_30.0%_5.txt,ILP_MIS,ILP,,10,20,200,200,27,60,27,60,0.3,0.3,1,True,True,False,False,00:00:00.15
random_nrc_10_20_pe_0%_po_50.0%_1.txt,ILP_MIS,ILP,,10,20,200,200,44,100,27,66,0.33,0.5,1,True,False,False,False,00:00:01.28
random_nrc_10_20_pe_0%_po_50.0%_2.txt,ILP_MIS,ILP,,10,20,200,200,46,100,28,67,0.335,0.5,1,True,False,False,False,00:00:02.58
random_nrc_10_20_pe_0%_po_50.0%_3.txt,ILP_MIS,ILP,,10,20,200,200,48,100,32,69,0.345,0.5,1,True,False,False,False,00:00:01.58
random_nrc_10_20_pe_0%_po_50.0%_4.txt,ILP_MIS,ILP,,10,20,200,200,45,100,23,51,0.255,0.5,1,True,False,False,False,00:00:01.49
random_nrc_10_20_pe_0%_po_50.0%_5.txt,ILP_MIS,ILP,,10,20,200,200,49,100,33,70,0.35,0.5,1,True,False,False,False,00:00:01.45
random_nrc_10_20_pe_0%_po_70.0%_1.txt,ILP_MIS,ILP,,10,20,200,200,65,140,27,72,0.36,0.7,1,True,False,False,False,00:00:08.93
random_nrc_10_20_pe_0%_po_70.0%_2.txt,ILP_MIS,ILP,,10,20,200,200,57,140,25,82,0.41,0.7,1,True,False,False,False,00:00:02.11
random_nrc_10_20_pe_0%_po_70.0%_3.txt,ILP_MIS,ILP,,10,20,200,200,68,140,32,70,0.35,0.7,1,True,False,False,False,00:00:06.11
random_nrc_10_20_pe_0%_po_70.0%_4.txt,ILP_MIS,ILP,,10,20,200,200,62,140,25,78,0.39,0.7,1,True,False,False,False,00:00:02.40
random_nrc_10_20_pe_0%_po_70.0%_5.txt,ILP_MIS,ILP,,10,20,200,200,66,140,25,76,0.38,0.7,1,True,False,False,False,00:00:02.39
random_nrc_10_20_pe_0%_po_90.0%_1.txt,ILP_MIS,ILP,,10,20,200,200,90,180,25,75,0.375,0.9,1,True,False,False,False,00:00:06.11
random_nrc_10_20_pe_0%_po_90.0%_2.txt,ILP_MIS,ILP,,10,20,200,200,80,180,26,78,0.39,0.9,1,True,False,False,False,00:00:04.52
random_nrc_10_20_pe_0%_po_90.0%_3.txt,ILP_MIS,ILP,,10,20,200,200,93,180,0,0,0,0.9,1,True,False,True,False,00:05:00.00
random_nrc_10_20_pe_0%_po_90.0%_4.txt,ILP_MIS,ILP,,10,20,200,200,85,180,27,73,0.365,0.9,1,True,False,False,False,00:00:06.33
random_nrc_10_20_pe_0%_po_90.0%_5.txt,ILP_MIS,ILP,,10,20,200,200,77,180,0,0,0,0.9,1,True,False,True,False,00:05:00.00
random_nrc_10_20_pe_20.0%_po_30.0%_1.txt,ILP_MIS,ILP,,10,20,200,162,23,49,23,49,0.30246913580246915,0.30246913580246915,0.81,True,True,False,False,00:00:00.07
random_nrc_10_20_pe_20.0%_po_30.0%_2.txt,ILP_MIS,ILP,,10,20,200,149,19,45,19,45,0.30201342281879195,0.30201342281879195,0.745,True,True,False,False,00:00:00.02
random_nrc_10_20_pe_20.0%_po_30.0%_3.txt,ILP_MIS,ILP,,10,20,200,152,22,46,22,46,0.3026315789473684,0.3026315789473684,0.76,True,True,False,False,00:00:00.05
random_nrc_10_20_pe_20.0%_po_30.0%_4.txt,ILP_MIS,ILP,,10,20,200,149,23,45,23,45,0.30201342281879195,0.30201342281879195,0.745,True,True,False,False,00:00:00.07
random_nrc_10_20_pe_20.0%_po_30.0%_5.txt,ILP_MIS,ILP,,10,20,200,159,24,48,24,48,0.3018867924528302,0.3018867924528302,0.795,True,True,False,False,00:00:00.10
random_nrc_10_20_pe_20.0%_po_50.0%_1.txt,ILP_MIS,ILP,,10,20,200,157,42,78,27,48,0.3057324840764331,0.4968152866242038,0.785,True,False,False,False,00:00:00.37
random_nrc_10_20_pe_20.0%_po_50.0%_2.txt,ILP_MIS,ILP,,10,20,200,157,32,78,19,52,0.33121019108280253,0.4968152866242038,0.785,True,False,False,False,00:00:00.19
random_nrc_10_20_pe_20.0%_po_50.0%_3.txt,ILP_MIS,ILP,,10,20,200,150,35,75,25,55,0.36666666666666664,0.5,0.75,True,False,False,False,00:00:00.27
random_nrc_10_20_pe_20.0%_po_50.0%_4.txt,ILP_MIS,ILP,,10,20,200,154,35,77,20,47,0.3051948051948052,0.5,0.77,True,False,False,False,00:00:00.26
random_nrc_10_20_pe_20.0%_po_50.0%_5.txt,ILP_MIS,ILP,,10,20,200,163,40,82,27,56,0.34355828220858897,0.5030674846625767,0.815,True,False,False,False,00:00:00.57
random_nrc_10_20_pe_20.0%_po_70.0%_1.txt,ILP_MIS,ILP,,10,20,200,165,55,115,29,64,0.3878787878787879,0.696969696969697,0.825,True,False,False,False,00:00:01.47
random_nrc_10_20_pe_20.0%_po_70.0%_2.txt,ILP_MIS,ILP,,10,20,200,164,60,115,31,59,0.3597560975609756,0.7012195121951219,0.82,True,False,False,False,00:00:01.46
random_nrc_10_20_pe_20.0%_po_70.0%_3.txt,ILP_MIS,ILP,,10,20,200,150,48,105,27,61,0.4066666666666667,0.7,0.75,True,False,False,False,00:00:00.54
random_nrc_10_20_pe_20.0%_po_70.0%_4.txt,ILP_MIS,ILP,,10,20,200,164,55,115,27,60,0.36585365853658536,0.7012195121951219,0.82,True,False,False,False,00:00:01.46
random_nrc_10_20_pe_20.0%_po_70.0%_5.txt,ILP_MIS,ILP,,10,20,200,165,58,115,31,63,0.38181818181818183,0.696969696969697,0.825,True,False,False,False,00:00:02.00
random_nrc_10_20_pe_20.0%_po_90.0%_1.txt,ILP_MIS,ILP,,10,20,200,156,66,140,27,62,0.3974358974358974,0.8974358974358975,0.78,True,False,False,False,00:00:01.02
random_nrc_10_20_pe_20.0%_po_90.0%_2.txt,ILP_MIS,ILP,,10,20,200,155,60,140,24,64,0.4129032258064516,0.9032258064516129,0.775,True,False,False,False,00:00:01.15
random_nrc_10_20_pe_20.0%_po_90.0%_3.txt,ILP_MIS,ILP,,10,20,200,153,59,138,24,64,0.41830065359477125,0.9019607843137255,0.765,True,False,False,False,00:00:01.21
random_nrc_10_20_pe_20.0%_po_90.0%_4.txt,ILP_MIS,ILP,,10,20,200,160,69,144,28,62,0.3875,0.9,0.8,True,False,False,False,00:00:01.93
random_nrc_10_20_pe_20.0%_po_90.0%_5.txt,ILP_MIS,ILP,,10,20,200,160,71,144,28,57,0.35625,0.9,0.8,True,False,False,False,00:00:01.70
random_nrc_10_20_pe_40.0%_po_30.0%_1.txt,ILP_MIS,ILP,,10,20,200,121,19,36,18,34,0.2809917355371901,0.2975206611570248,0.605,True,False,False,False,00:00:00.01
random_nrc_10_20_pe_40.0%_po_30.0%_2.txt,ILP_MIS,ILP,,10,20,200,115,18,34,18,34,0.2956521739130435,0.2956521739130435,0.575,True,True,False,False,00:00:00.01
random_nrc_10_20_pe_40.0%_po_30.0%_3.txt,ILP_MIS,ILP,,10,20,200,117,19,35,15,27,0.23076923076923078,0.29914529914529914,0.585,True,False,False,False,00:00:00.01
random_nrc_10_20_pe_40.0%_po_30.0%_4.txt,ILP_MIS,ILP,,10,20,200,122,16,37,16,37,0.30327868852459017,0.30327868852459017,0.61,True,True,False,False,00:00:00.02
random_nrc_10_20_pe_40.0%_po_30.0%_5.txt,ILP_MIS,ILP,,10,20,200,119,11,36,9,20,0.16806722689075632,0.3025210084033613,0.595,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_40.0%_po_50.0%_1.txt,ILP_MIS,ILP,,10,20,200,123,28,62,18,42,0.34146341463414637,0.5040650406504065,0.615,True,False,False,False,00:00:00.02
random_nrc_10_20_pe_40.0%_po_50.0%_2.txt,ILP_MIS,ILP,,10,20,200,126,28,63,24,49,0.3888888888888889,0.5,0.63,True,False,False,False,00:00:00.03
random_nrc_10_20_pe_40.0%_po_50.0%_3.txt,ILP_MIS,ILP,,10,20,200,126,27,63,19,45,0.35714285714285715,0.5,0.63,True,False,False,False,00:00:00.03
random_nrc_10_20_pe_40.0%_po_50.0%_4.txt,ILP_MIS,ILP,,10,20,200,122,32,61,21,39,0.319672131147541,0.5,0.61,True,False,False,False,00:00:00.05
random_nrc_10_20_pe_40.0%_po_50.0%_5.txt,ILP_MIS,ILP,,10,20,200,124,30,62,19,40,0.3225806451612903,0.5,0.62,True,False,False,False,00:00:00.02
random_nrc_10_20_pe_40.0%_po_70.0%_1.txt,ILP_MIS,ILP,,10,20,200,113,35,79,19,44,0.3893805309734513,0.6991150442477876,0.565,True,False,False,False,00:00:00.05
random_nrc_10_20_pe_40.0%_po_70.0%_2.txt,ILP_MIS,ILP,,10,20,200,115,38,80,17,38,0.33043478260869563,0.6956521739130435,0.575,True,False,False,False,00:00:00.17
random_nrc_10_20_pe_40.0%_po_70.0%_3.txt,ILP_MIS,ILP,,10,20,200,120,40,84,19,38,0.31666666666666665,0.7,0.6,True,False,False,False,00:00:00.07
random_nrc_10_20_pe_40.0%_po_70.0%_4.txt,ILP_MIS,ILP,,10,20,200,118,38,83,21,49,0.4152542372881356,0.7033898305084746,0.59,True,False,False,False,00:00:00.12
random_nrc_10_20_pe_40.0%_po_70.0%_5.txt,ILP_MIS,ILP,,10,20,200,101,31,71,19,43,0.42574257425742573,0.7029702970297029,0.505,True,False,False,False,00:00:00.03
random_nrc_10_20_pe_40.0%_po_90.0%_1.txt,ILP_MIS,ILP,,10,20,200,121,55,109,24,42,0.34710743801652894,0.9008264462809917,0.605,True,False,False,False,00:00:00.29
random_nrc_10_20_pe_40.0%_po_90.0%_2.txt,ILP_MIS,ILP,,10,20,200,115,46,104,19,38,0.33043478260869563,0.9043478260869565,0.575,True,False,False,False,00:00:00.10
random_nrc_10_20_pe_40.0%_po_90.0%_3.txt,ILP_MIS,ILP,,10,20,200,116,47,104,22,47,0.4051724137931034,0.896551724137931,0.58,True,False,False,False,00:00:00.09
random_nrc_10_20_pe_40.0%_po_90.0%_4.txt,ILP_MIS,ILP,,10,20,200,121,49,109,20,43,0.35537190082644626,0.9008264462809917,0.605,True,False,False,False,00:00:00.21
random_nrc_10_20_pe_40.0%_po_90.0%_5.txt,ILP_MIS,ILP,,10,20,200,124,50,112,26,50,0.4032258064516129,0.9032258064516129,0.62,True,False,False,False,00:00:00.09
random_nrc_10_20_pe_60.0%_po_30.0%_1.txt,ILP_MIS,ILP,,10,20,200,78,11,23,10,20,0.2564102564102564,0.2948717948717949,0.39,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_30.0%_2.txt,ILP_MIS,ILP,,10,20,200,75,11,22,7,14,0.18666666666666668,0.29333333333333333,0.375,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_30.0%_3.txt,ILP_MIS,ILP,,10,20,200,90,15,27,13,23,0.25555555555555554,0.3,0.45,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_30.0%_4.txt,ILP_MIS,ILP,,10,20,200,82,13,25,11,21,0.25609756097560976,0.3048780487804878,0.41,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_30.0%_5.txt,ILP_MIS,ILP,,10,20,200,92,17,28,14,22,0.2391304347826087,0.30434782608695654,0.46,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_50.0%_1.txt,ILP_MIS,ILP,,10,20,200,70,16,35,11,22,0.3142857142857143,0.5,0.35,True,False,False,False,00:00:00.01
random_nrc_10_20_pe_60.0%_po_50.0%_2.txt,ILP_MIS,ILP,,10,20,200,82,18,41,10,25,0.3048780487804878,0.5,0.41,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_50.0%_3.txt,ILP_MIS,ILP,,10,20,200,82,21,41,15,28,0.34146341463414637,0.5,0.41,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_50.0%_4.txt,ILP_MIS,ILP,,10,20,200,76,20,38,11,20,0.2631578947368421,0.5,0.38,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_50.0%_5.txt,ILP_MIS,ILP,,10,20,200,72,21,36,14,22,0.3055555555555556,0.5,0.36,True,False,False,False,00:00:00.01
random_nrc_10_20_pe_60.0%_po_70.0%_1.txt,ILP_MIS,ILP,,10,20,200,79,27,55,12,20,0.25316455696202533,0.6962025316455697,0.395,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_70.0%_2.txt,ILP_MIS,ILP,,10,20,200,79,26,55,11,19,0.24050632911392406,0.6962025316455697,0.395,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_70.0%_3.txt,ILP_MIS,ILP,,10,20,200,73,28,51,14,23,0.3150684931506849,0.6986301369863014,0.365,True,False,False,False,00:00:00.00
random_nrc_10_20_pe_60.0%_po_70.0%_4.txt,ILP_MIS,ILP,,10,20,200,84,33,59,20,33,0.39285714285714285,0.7023809523809523,0.42,True,False,False,False,00:00:00.01
random_nrc_10_20_pe_60.0%_po_70.0%_5.txt,ILP_MIS,ILP,,10,20,200,85,30,59,14,25,0.29411764705882354,0.6941176470588235,0.425,True,False,False,False,00:00:00.01
