InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_40_50_pe_0%_po_30.0%_1.txt,MADS_Greedy,None,,40,50,2000,2000,263,600,0,600,0.3,0.3,1,True,True,False,False,00:00:00.06
random_nrc_40_50_pe_0%_po_30.0%_2.txt,MADS_Greedy,None,,40,50,2000,2000,279,600,0,600,0.3,0.3,1,True,True,False,False,00:00:00.06
random_nrc_40_50_pe_0%_po_30.0%_3.txt,MADS_Greedy,None,,40,50,2000,2000,272,600,0,600,0.3,0.3,1,True,True,False,False,00:00:00.05
random_nrc_40_50_pe_0%_po_30.0%_4.txt,MADS_Greedy,None,,40,50,2000,2000,260,600,0,600,0.3,0.3,1,True,True,False,False,00:00:00.05
random_nrc_40_50_pe_0%_po_30.0%_5.txt,MADS_Greedy,None,,40,50,2000,2000,279,600,0,600,0.3,0.3,1,True,True,False,False,00:00:00.06
random_nrc_40_50_pe_0%_po_50.0%_1.txt,MADS_Greedy,None,,40,50,2000,2000,460,1000,0,691,0.3455,0.5,1,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_0%_po_50.0%_2.txt,MADS_Greedy,None,,40,50,2000,2000,459,1000,0,700,0.35,0.5,1,True,False,False,False,00:00:00.05
random_nrc_40_50_pe_0%_po_50.0%_3.txt,MADS_Greedy,None,,40,50,2000,2000,451,1000,0,692,0.346,0.5,1,True,False,False,False,00:00:00.05
random_nrc_40_50_pe_0%_po_50.0%_4.txt,MADS_Greedy,None,,40,50,2000,2000,461,1000,0,697,0.3485,0.5,1,True,False,False,False,00:00:00.04
random_nrc_40_50_pe_0%_po_50.0%_5.txt,MADS_Greedy,None,,40,50,2000,2000,487,1000,0,669,0.3345,0.5,1,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_0%_po_70.0%_1.txt,MADS_Greedy,None,,40,50,2000,2000,611,1400,0,731,0.3655,0.7,1,True,False,False,False,00:00:00.07
random_nrc_40_50_pe_0%_po_70.0%_2.txt,MADS_Greedy,None,,40,50,2000,2000,594,1400,0,744,0.372,0.7,1,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_0%_po_70.0%_3.txt,MADS_Greedy,None,,40,50,2000,2000,604,1400,0,738,0.369,0.7,1,True,False,False,False,00:00:00.05
random_nrc_40_50_pe_0%_po_70.0%_4.txt,MADS_Greedy,None,,40,50,2000,2000,633,1400,0,714,0.357,0.7,1,True,False,False,False,00:00:00.06
random_nrc_40_50_pe_0%_po_70.0%_5.txt,MADS_Greedy,None,,40,50,2000,2000,660,1400,0,712,0.356,0.7,1,True,False,False,False,00:00:00.05
random_nrc_40_50_pe_0%_po_90.0%_1.txt,MADS_Greedy,None,,40,50,2000,2000,787,1800,0,770,0.385,0.9,1,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_0%_po_90.0%_2.txt,MADS_Greedy,None,,40,50,2000,2000,831,1800,0,734,0.367,0.9,1,True,False,False,False,00:00:00.04
random_nrc_40_50_pe_0%_po_90.0%_3.txt,MADS_Greedy,None,,40,50,2000,2000,816,1800,0,737,0.3685,0.9,1,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_0%_po_90.0%_4.txt,MADS_Greedy,None,,40,50,2000,2000,815,1800,0,760,0.38,0.9,1,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_0%_po_90.0%_5.txt,MADS_Greedy,None,,40,50,2000,2000,816,1800,0,739,0.3695,0.9,1,True,False,False,False,00:00:00.04
random_nrc_40_50_pe_20.0%_po_30.0%_1.txt,MADS_Greedy,None,,40,50,2000,1630,225,489,0,489,0.3,0.3,0.815,True,True,False,False,00:00:00.06
random_nrc_40_50_pe_20.0%_po_30.0%_2.txt,MADS_Greedy,None,,40,50,2000,1602,215,481,0,481,0.30024968789013734,0.30024968789013734,0.801,True,True,False,False,00:00:00.03
random_nrc_40_50_pe_20.0%_po_30.0%_3.txt,MADS_Greedy,None,,40,50,2000,1654,232,496,0,496,0.2998790810157195,0.2998790810157195,0.827,True,True,False,False,00:00:00.05
random_nrc_40_50_pe_20.0%_po_30.0%_4.txt,MADS_Greedy,None,,40,50,2000,1589,217,477,0,477,0.30018879798615483,0.30018879798615483,0.7945,True,True,False,False,00:00:00.03
random_nrc_40_50_pe_20.0%_po_30.0%_5.txt,MADS_Greedy,None,,40,50,2000,1563,216,469,0,469,0.3000639795265515,0.3000639795265515,0.7815,True,True,False,False,00:00:00.03
random_nrc_40_50_pe_20.0%_po_50.0%_1.txt,MADS_Greedy,None,,40,50,2000,1617,384,808,0,610,0.3772418058132344,0.4996907854050711,0.8085,True,False,False,False,00:00:00.06
random_nrc_40_50_pe_20.0%_po_50.0%_2.txt,MADS_Greedy,None,,40,50,2000,1594,349,797,0,599,0.37578419071518193,0.5,0.797,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_20.0%_po_50.0%_3.txt,MADS_Greedy,None,,40,50,2000,1586,350,793,0,589,0.371374527112232,0.5,0.793,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_20.0%_po_50.0%_4.txt,MADS_Greedy,None,,40,50,2000,1608,373,804,0,595,0.37002487562189057,0.5,0.804,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_20.0%_po_50.0%_5.txt,MADS_Greedy,None,,40,50,2000,1587,362,794,0,584,0.36798991808443604,0.5003150598613737,0.7935,True,False,False,False,00:00:00.04
random_nrc_40_50_pe_20.0%_po_70.0%_1.txt,MADS_Greedy,None,,40,50,2000,1601,492,1121,0,626,0.3910056214865709,0.7001873828856965,0.8005,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_20.0%_po_70.0%_2.txt,MADS_Greedy,None,,40,50,2000,1595,492,1116,0,625,0.39184952978056425,0.6996865203761755,0.7975,True,False,False,False,00:00:00.04
random_nrc_40_50_pe_20.0%_po_70.0%_3.txt,MADS_Greedy,None,,40,50,2000,1595,485,1116,0,628,0.39373040752351096,0.6996865203761755,0.7975,True,False,False,False,00:00:00.04
random_nrc_40_50_pe_20.0%_po_70.0%_4.txt,MADS_Greedy,None,,40,50,2000,1617,502,1132,0,626,0.38713667285095854,0.7000618429189858,0.8085,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_20.0%_po_70.0%_5.txt,MADS_Greedy,None,,40,50,2000,1584,516,1109,0,591,0.3731060606060606,0.7001262626262627,0.792,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_20.0%_po_90.0%_1.txt,MADS_Greedy,None,,40,50,2000,1605,624,1444,0,648,0.40373831775700936,0.8996884735202493,0.8025,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_20.0%_po_90.0%_2.txt,MADS_Greedy,None,,40,50,2000,1600,653,1440,0,632,0.395,0.9,0.8,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_20.0%_po_90.0%_3.txt,MADS_Greedy,None,,40,50,2000,1586,648,1427,0,633,0.3991172761664565,0.8997477931904161,0.793,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_20.0%_po_90.0%_4.txt,MADS_Greedy,None,,40,50,2000,1604,653,1444,0,636,0.39650872817955113,0.9002493765586035,0.802,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_20.0%_po_90.0%_5.txt,MADS_Greedy,None,,40,50,2000,1576,637,1418,0,635,0.4029187817258883,0.899746192893401,0.788,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_40.0%_po_30.0%_1.txt,MADS_Greedy,None,,40,50,2000,1205,168,362,0,362,0.3004149377593361,0.3004149377593361,0.6025,True,True,False,False,00:00:00.02
random_nrc_40_50_pe_40.0%_po_30.0%_2.txt,MADS_Greedy,None,,40,50,2000,1199,165,360,0,360,0.3002502085070892,0.3002502085070892,0.5995,True,True,False,False,00:00:00.02
random_nrc_40_50_pe_40.0%_po_30.0%_3.txt,MADS_Greedy,None,,40,50,2000,1174,160,352,0,352,0.29982964224872233,0.29982964224872233,0.587,True,True,False,False,00:00:00.02
random_nrc_40_50_pe_40.0%_po_30.0%_4.txt,MADS_Greedy,None,,40,50,2000,1237,176,371,0,371,0.29991915925626517,0.29991915925626517,0.6185,True,True,False,False,00:00:00.02
random_nrc_40_50_pe_40.0%_po_30.0%_5.txt,MADS_Greedy,None,,40,50,2000,1235,176,370,0,370,0.29959514170040485,0.29959514170040485,0.6175,True,True,False,False,00:00:00.03
random_nrc_40_50_pe_40.0%_po_50.0%_1.txt,MADS_Greedy,None,,40,50,2000,1216,274,608,0,514,0.42269736842105265,0.5,0.608,True,False,False,False,00:00:00.03
random_nrc_40_50_pe_40.0%_po_50.0%_2.txt,MADS_Greedy,None,,40,50,2000,1193,263,596,0,520,0.4358759430008382,0.49958088851634536,0.5965,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_40.0%_po_50.0%_3.txt,MADS_Greedy,None,,40,50,2000,1190,276,595,0,498,0.4184873949579832,0.5,0.595,True,False,False,False,00:00:00.02
random_nrc_40_50_pe_40.0%_po_50.0%_4.txt,MADS_Greedy,None,,40,50,2000,1206,248,603,0,531,0.44029850746268656,0.5,0.603,True,False,False,False,00:00:00.04
