InstanceFile,SolverType,MISType,OrderingType,Width,Height,Size,Capacity,NumberOfGroups,NumberOfPeople,NumberOfGroupsSeated,NumberOfPeopleSeated,PercentageSeated,PercentageOccupied,PercentageEmpty,Valid,AllSeated,Timeout,OutOfMemory,SolvingTime
random_nrc_5_18_pe_0%_po_30.0%_1.txt,MADS_ILP,None,,5,18,90,90,14,27,0,27,0.3,0.3,1,True,True,False,False,00:00:00.60
random_nrc_5_18_pe_0%_po_30.0%_2.txt,MADS_ILP,None,,5,18,90,90,11,27,0,27,0.3,0.3,1,True,True,False,False,00:00:00.30
random_nrc_5_18_pe_0%_po_30.0%_3.txt,MADS_ILP,None,,5,18,90,90,12,27,0,27,0.3,0.3,1,True,True,False,False,00:00:00.38
random_nrc_5_18_pe_0%_po_30.0%_4.txt,MADS_ILP,None,,5,18,90,90,16,27,0,27,0.3,0.3,1,True,True,False,False,00:00:01.10
random_nrc_5_18_pe_0%_po_30.0%_5.txt,MADS_ILP,None,,5,18,90,90,14,27,0,27,0.3,0.3,1,True,True,False,False,00:00:00.53
random_nrc_5_18_pe_0%_po_50.0%_1.txt,MADS_ILP,None,,5,18,90,90,23,45,0,36,0.4,0.5,1,True,False,False,False,00:00:05.39
random_nrc_5_18_pe_0%_po_50.0%_2.txt,MADS_ILP,None,,5,18,90,90,23,45,0,37,0.4111111111111111,0.5,1,True,False,False,False,00:00:17.13
random_nrc_5_18_pe_0%_po_50.0%_3.txt,MADS_ILP,None,,5,18,90,90,20,45,0,36,0.4,0.5,1,True,False,False,False,00:00:04.31
random_nrc_5_18_pe_0%_po_50.0%_4.txt,MADS_ILP,None,,5,18,90,90,22,45,0,36,0.4,0.5,1,True,False,False,False,00:00:04.25
random_nrc_5_18_pe_0%_po_50.0%_5.txt,MADS_ILP,None,,5,18,90,90,21,45,0,36,0.4,0.5,1,True,False,False,False,00:00:04.16
random_nrc_5_18_pe_0%_po_70.0%_1.txt,MADS_ILP,None,,5,18,90,90,31,63,0,36,0.4,0.7,1,True,False,False,False,00:00:08.66
random_nrc_5_18_pe_0%_po_70.0%_2.txt,MADS_ILP,None,,5,18,90,90,30,63,0,36,0.4,0.7,1,True,False,False,False,00:00:06.90
random_nrc_5_18_pe_0%_po_70.0%_3.txt,MADS_ILP,None,,5,18,90,90,31,63,0,37,0.4111111111111111,0.7,1,True,False,False,False,00:00:08.48
random_nrc_5_18_pe_0%_po_70.0%_4.txt,MADS_ILP,None,,5,18,90,90,32,63,0,36,0.4,0.7,1,True,False,False,False,00:00:09.47
random_nrc_5_18_pe_0%_po_70.0%_5.txt,MADS_ILP,None,,5,18,90,90,33,63,0,37,0.4111111111111111,0.7,1,True,False,False,False,00:00:12.16
random_nrc_5_18_pe_0%_po_90.0%_1.txt,MADS_ILP,None,,5,18,90,90,42,81,0,38,0.4222222222222222,0.9,1,True,False,False,False,00:00:18.69
random_nrc_5_18_pe_0%_po_90.0%_2.txt,MADS_ILP,None,,5,18,90,90,38,81,0,38,0.4222222222222222,0.9,1,True,False,False,False,00:00:14.95
random_nrc_5_18_pe_0%_po_90.0%_3.txt,MADS_ILP,None,,5,18,90,90,38,81,0,38,0.4222222222222222,0.9,1,True,False,False,False,00:00:14.54
random_nrc_5_18_pe_0%_po_90.0%_4.txt,MADS_ILP,None,,5,18,90,90,38,81,0,37,0.4111111111111111,0.9,1,True,False,False,False,00:00:13.73
random_nrc_5_18_pe_0%_po_90.0%_5.txt,MADS_ILP,None,,5,18,90,90,41,81,0,36,0.4,0.9,1,True,False,False,False,00:00:24.24
random_nrc_5_18_pe_20.0%_po_30.0%_1.txt,MADS_ILP,None,,5,18,90,70,9,21,0,21,0.3,0.3,0.7777777777777778,True,True,False,False,00:00:00.05
random_nrc_5_18_pe_20.0%_po_30.0%_2.txt,MADS_ILP,None,,5,18,90,75,9,22,0,22,0.29333333333333333,0.29333333333333333,0.8333333333333334,True,True,False,False,00:00:00.07
random_nrc_5_18_pe_20.0%_po_30.0%_3.txt,MADS_ILP,None,,5,18,90,66,7,20,0,20,0.30303030303030304,0.30303030303030304,0.7333333333333333,True,True,False,False,00:00:00.01
random_nrc_5_18_pe_20.0%_po_30.0%_4.txt,MADS_ILP,None,,5,18,90,71,11,21,0,21,0.29577464788732394,0.29577464788732394,0.7888888888888889,True,True,False,False,00:00:00.14
random_nrc_5_18_pe_20.0%_po_30.0%_5.txt,MADS_ILP,None,,5,18,90,75,12,22,0,22,0.29333333333333333,0.29333333333333333,0.8333333333333334,True,True,False,False,00:00:00.19
random_nrc_5_18_pe_20.0%_po_50.0%_1.txt,MADS_ILP,None,,5,18,90,76,19,38,0,33,0.4342105263157895,0.5,0.8444444444444444,True,False,False,False,00:00:01.17
random_nrc_5_18_pe_20.0%_po_50.0%_2.txt,MADS_ILP,None,,5,18,90,71,15,36,0,32,0.4507042253521127,0.5070422535211268,0.7888888888888889,True,False,False,False,00:00:00.56
random_nrc_5_18_pe_20.0%_po_50.0%_3.txt,MADS_ILP,None,,5,18,90,68,19,34,0,32,0.47058823529411764,0.5,0.7555555555555555,True,False,False,False,00:00:00.67
random_nrc_5_18_pe_20.0%_po_50.0%_4.txt,MADS_ILP,None,,5,18,90,66,18,33,0,29,0.4393939393939394,0.5,0.7333333333333333,True,False,False,False,00:00:00.62
random_nrc_5_18_pe_20.0%_po_50.0%_5.txt,MADS_ILP,None,,5,18,90,77,19,38,0,34,0.44155844155844154,0.4935064935064935,0.8555555555555555,True,False,False,False,00:00:01.65
random_nrc_5_18_pe_20.0%_po_70.0%_1.txt,MADS_ILP,None,,5,18,90,75,24,52,0,34,0.4533333333333333,0.6933333333333334,0.8333333333333334,True,False,False,False,00:00:01.78
random_nrc_5_18_pe_20.0%_po_70.0%_2.txt,MADS_ILP,None,,5,18,90,72,26,50,0,31,0.4305555555555556,0.6944444444444444,0.8,True,False,False,False,00:00:02.17
